Alpha,Beta,Group Fairness,Individual Fairness,Accuracy,Demographic Parity Difference,Equalized Odds Difference,Theil Index,Gini Coefficient,Train Time (s),Trained This Run
0.0,0.0,demographic_parity_difference,theil_index,0.42,0.03,0.04,0.14,0.39,0.005,False
0.0,0.0,demographic_parity_difference,generalized_entropy_index,0.48,0.22,0.55,0.22,0.62,0.001,False
0.0,0.0,demographic_parity_difference,atkinson_index,0.39,0.23,0.44,0.12,0.31,0.0,False
0.0,0.0,demographic_parity_difference,gini_coefficient,0.7,0.02,0.05,0.21,0.94,0.0,False
0.0,0.0,equalized_odds_difference,theil_index,0.45,0.08,0.14,0.12,0.36,0.0,False
0.0,0.0,equalized_odds_difference,generalized_entropy_index,0.59,0.07,0.15,0.18,0.64,0.0,False
0.0,0.0,equalized_odds_difference,atkinson_index,0.49,0.06,0.14,0.23,0.66,0.0,False
0.0,0.0,equalized_odds_difference,gini_coefficient,0.39,0.21,0.37,0.13,0.35,0.0,False
0.0,0.0,equal_opportunity_difference,theil_index,0.64,0.05,0.06,0.19,0.73,0.0,False
0.0,0.0,equal_opportunity_difference,generalized_entropy_index,0.48,0.09,0.15,0.2,0.57,0.0,False
0.0,0.0,equal_opportunity_difference,atkinson_index,0.34,0.24,0.25,0.07,0.13,0.0,False
0.0,0.0,equal_opportunity_difference,gini_coefficient,0.38,0.28,0.3,0.21,0.52,0.0,False
0.0,0.0,disparate_impact_difference,theil_index,0.47,0.0,0.11,0.1,0.32,0.0,False
0.0,0.0,disparate_impact_difference,generalized_entropy_index,0.51,0.19,0.27,0.15,0.49,0.0,False
0.0,0.0,disparate_impact_difference,atkinson_index,0.41,0.31,0.36,0.12,0.35,0.0,False
0.0,0.0,disparate_impact_difference,gini_coefficient,0.63,0.07,0.14,0.24,0.86,0.0,False
0.0,0.005,demographic_parity_difference,theil_index,0.59,0.01,0.19,0.16,0.6,0.0,False
0.0,0.005,demographic_parity_difference,generalized_entropy_index,0.32,0.1,0.16,0.09,0.19,0.0,False
0.0,0.005,demographic_parity_difference,atkinson_index,0.34,0.12,0.23,0.16,0.39,0.0,False
0.0,0.005,demographic_parity_difference,gini_coefficient,0.64,0.47,0.56,0.22,0.82,0.0,False
0.0,0.005,equalized_odds_difference,theil_index,0.64,0.09,0.14,0.21,0.78,0.0,False
0.0,0.005,equalized_odds_difference,generalized_entropy_index,0.47,0.02,0.12,0.11,0.36,0.0,False
0.0,0.005,equalized_odds_difference,atkinson_index,0.7,0.21,0.32,0.2,0.89,0.0,False
0.0,0.005,equalized_odds_difference,gini_coefficient,0.33,0.01,0.17,0.08,0.17,0.0,False
0.0,0.005,equal_opportunity_difference,theil_index,0.63,0.1,0.21,0.2,0.73,0.0,False
0.0,0.005,equal_opportunity_difference,generalized_entropy_index,0.34,0.05,0.14,0.09,0.19,0.0,False
0.0,0.005,equal_opportunity_difference,atkinson_index,0.56,0.22,0.29,0.26,0.78,0.0,False
0.0,0.005,equal_opportunity_difference,gini_coefficient,0.41,0.28,0.39,0.07,0.19,0.0,False
0.0,0.005,disparate_impact_difference,theil_index,0.34,0.04,0.23,0.1,0.24,0.0,False
0.0,0.005,disparate_impact_difference,generalized_entropy_index,0.51,0.12,0.32,0.11,0.39,0.0,False
0.0,0.005,disparate_impact_difference,atkinson_index,0.56,0.17,0.23,0.15,0.53,0.0,False
0.0,0.005,disparate_impact_difference,gini_coefficient,0.46,0.04,0.16,0.18,0.51,0.0,False
0.0,0.05,demographic_parity_difference,theil_index,0.4,0.26,0.33,0.15,0.4,0.0,False
0.0,0.05,demographic_parity_difference,generalized_entropy_index,0.7,0.19,0.24,0.16,0.75,0.0,False
0.0,0.05,demographic_parity_difference,atkinson_index,0.66,0.06,0.1,0.24,0.93,0.0,False
0.0,0.05,demographic_parity_difference,gini_coefficient,0.3,0.17,0.22,0.1,0.2,0.0,False
0.0,0.05,equalized_odds_difference,theil_index,0.61,0.23,0.31,0.14,0.57,0.0,False
0.0,0.05,equalized_odds_difference,generalized_entropy_index,0.47,0.03,0.04,0.12,0.37,0.0,False
0.0,0.05,equalized_odds_difference,atkinson_index,0.43,0.15,0.17,0.1,0.3,0.0,False
0.0,0.05,equalized_odds_difference,gini_coefficient,0.55,0.3,0.69,0.19,0.61,0.0,False
0.0,0.05,equal_opportunity_difference,theil_index,0.64,0.1,0.13,0.22,0.8,0.0,False
0.0,0.05,equal_opportunity_difference,generalized_entropy_index,0.36,0.22,0.32,0.09,0.22,0.0,False
0.0,0.05,equal_opportunity_difference,atkinson_index,0.45,0.1,0.44,0.18,0.52,0.0,False
0.0,0.05,equal_opportunity_difference,gini_coefficient,0.6,0.14,0.28,0.16,0.6,0.0,False
0.0,0.05,disparate_impact_difference,theil_index,0.55,0.03,0.06,0.2,0.64,0.0,False
0.0,0.05,disparate_impact_difference,generalized_entropy_index,0.43,0.34,0.44,0.15,0.44,0.0,False
0.0,0.05,disparate_impact_difference,atkinson_index,0.49,0.41,0.48,0.23,0.66,0.0,False
0.0,0.05,disparate_impact_difference,gini_coefficient,0.62,0.02,0.04,0.14,0.57,0.0,False
0.0,0.25,demographic_parity_difference,theil_index,0.48,0.34,0.4,0.21,0.6,0.0,False
0.0,0.25,demographic_parity_difference,generalized_entropy_index,0.41,0.14,0.16,0.06,0.15,0.0,False
0.0,0.25,demographic_parity_difference,atkinson_index,0.38,0.3,0.49,0.15,0.4,0.0,False
0.0,0.25,demographic_parity_difference,gini_coefficient,0.67,0.15,0.22,0.2,0.8,0.247,True
0.0,0.25,equalized_odds_difference,theil_index,0.62,0.19,0.24,0.18,0.67,0.375,True
0.0,0.25,equalized_odds_difference,generalized_entropy_index,0.41,0.1,0.33,0.12,0.32,0.397,True
0.0,0.25,equalized_odds_difference,atkinson_index,0.57,0.24,0.26,0.21,0.68,0.386,True
0.0,0.25,equalized_odds_difference,gini_coefficient,0.57,0.08,0.42,0.18,0.63,0.381,True
0.0,0.25,equal_opportunity_difference,theil_index,0.34,0.08,0.1,0.09,0.21,0.285,True
0.0,0.25,equal_opportunity_difference,generalized_entropy_index,0.51,0.08,0.14,0.07,0.27,0.287,True
0.0,0.25,equal_opportunity_difference,atkinson_index,0.53,0.3,0.57,0.19,0.61,0.293,True
0.0,0.25,equal_opportunity_difference,gini_coefficient,0.7,0.01,0.08,0.13,0.65,0.294,True
0.0,0.25,disparate_impact_difference,theil_index,0.4,0.06,0.11,0.1,0.26,0.227,True
0.0,0.25,disparate_impact_difference,generalized_entropy_index,0.67,0.09,0.11,0.18,0.74,0.227,True
0.0,0.25,disparate_impact_difference,atkinson_index,0.37,0.12,0.14,0.14,0.36,0.228,True
