Alpha,Beta,Group Fairness,Individual Fairness,Accuracy,Demographic Parity Difference,Equalized Odds Difference,Theil Index,Gini Coefficient,Train Time (s),Trained This Run
0.0,0.0,demographic_parity_difference,theil_index,0.51,0.47,1.0,0.31,0.7,0.522,True
0.0,0.0,demographic_parity_difference,generalized_entropy_index,0.73,0.8,1.0,0.13,0.56,0.531,True
0.0,0.0,demographic_parity_difference,atkinson_index,0.41,0.73,0.91,0.2,0.39,0.497,True
0.0,0.0,demographic_parity_difference,gini_coefficient,0.66,1.0,1.0,0.25,0.82,0.498,True
0.0,0.0,equalized_odds_difference,theil_index,0.54,0.1,0.12,0.4,0.93,1.058,True
0.0,0.0,equalized_odds_difference,generalized_entropy_index,0.26,0.23,1.0,0.21,0.3,1.061,True
0.0,0.0,equalized_odds_difference,atkinson_index,0.47,0.48,1.0,0.3,0.64,1.057,True
0.0,0.0,equalized_odds_difference,gini_coefficient,0.35,0.37,1.0,0.12,0.15,1.069,True
0.0,0.0,equal_opportunity_difference,theil_index,0.24,0.25,0.26,0.38,0.58,0.727,True
0.0,0.0,equal_opportunity_difference,generalized_entropy_index,0.39,0.91,1.0,0.25,0.47,0.73,True
0.0,0.0,equal_opportunity_difference,atkinson_index,0.42,0.6,1.0,0.06,0.04,0.725,True
0.0,0.0,equal_opportunity_difference,gini_coefficient,0.72,0.35,0.74,0.18,0.75,0.727,True
0.0,0.0,disparate_impact_difference,theil_index,0.41,0.64,1.0,0.15,0.27,0.514,True
0.0,0.0,disparate_impact_difference,generalized_entropy_index,0.44,0.62,1.0,0.33,0.65,0.497,True
0.0,0.0,disparate_impact_difference,atkinson_index,0.66,0.65,1.0,0.18,0.6,0.49,True
0.0,0.0,disparate_impact_difference,gini_coefficient,0.2,0.47,0.5,0.29,0.42,0.497,True
0.0,0.005,demographic_parity_difference,theil_index,0.61,0.6,0.75,0.08,0.23,0.493,True
0.0,0.005,demographic_parity_difference,generalized_entropy_index,0.59,0.24,0.37,0.08,0.23,0.501,True
0.0,0.005,demographic_parity_difference,atkinson_index,0.34,0.67,1.0,0.22,0.38,0.496,True
0.0,0.005,demographic_parity_difference,gini_coefficient,0.82,0.67,1.0,0.09,0.57,0.5,True
0.0,0.005,equalized_odds_difference,theil_index,0.65,0.23,0.48,0.27,0.88,1.066,True
0.0,0.005,equalized_odds_difference,generalized_entropy_index,0.65,1.0,1.0,0.18,0.59,1.079,True
0.0,0.005,equalized_odds_difference,atkinson_index,0.67,0.72,1.0,0.1,0.36,1.077,True
0.0,0.005,equalized_odds_difference,gini_coefficient,0.65,0.37,0.55,0.07,0.25,1.086,True
0.0,0.005,equal_opportunity_difference,theil_index,0.52,0.97,0.97,0.14,0.33,0.742,True
0.0,0.005,equal_opportunity_difference,generalized_entropy_index,0.45,0.47,1.0,0.19,0.4,0.768,True
0.0,0.005,equal_opportunity_difference,atkinson_index,0.53,0.82,0.82,0.18,0.46,0.752,True
