Model,Arch,Alpha,Beta,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient,Val Accuracy,Val DPD (Largest 2 Groups),Val Positive Rate,Train Time (s),Trained This Run
Logistic Regression,logreg,0.0,0.0,0.7609,0.6,0.1017,0.75,0.0592,0.3313,0.7907,0.1329,0.6514,0.002,False
Logistic Regression,logreg,0.0,0.005,0.7491,0.6,0.0978,0.75,0.0601,0.3195,0.7762,0.1295,0.666,0.0,False
Logistic Regression,logreg,0.0,0.05,0.6715,0.4,0.0218,0.5404,0.0625,0.2419,0.6979,0.0103,0.7443,0.0,False
Logistic Regression,logreg,0.0,0.25,0.4401,0.0178,0.0178,0.0362,0.0506,0.0104,0.4553,0.0174,0.9868,0.0,False
Logistic Regression,logreg,0.0,0.5,0.438,0.0137,0.0097,0.0279,0.0504,0.0083,0.4505,0.0058,0.9917,0.0,False
Logistic Regression,logreg,0.0,0.75,0.4505,0.026,0.0022,0.0474,0.0524,0.0236,0.4664,0.0063,0.9716,0.0,False
Logistic Regression,logreg,0.0,1.0,0.4664,0.0653,0.0093,0.0891,0.0587,0.0561,0.4802,0.0093,0.93,0.0,False
Logistic Regression,logreg,0.005,0.0,0.8067,0.6,0.1257,0.75,0.0551,0.3784,0.8302,0.1369,0.6105,0.001,False
Logistic Regression,logreg,0.005,0.005,0.7872,0.6,0.1119,0.75,0.0573,0.359,0.8191,0.1243,0.6216,0.0,False
Logistic Regression,logreg,0.005,0.05,0.7096,0.4,0.0354,0.6379,0.0623,0.2814,0.7477,0.0261,0.6944,0.0,False
Logistic Regression,logreg,0.005,0.25,0.4407,0.0192,0.0192,0.039,0.0507,0.0111,0.4553,0.0174,0.9868,0.0,False
Logistic Regression,logreg,0.005,0.5,0.4338,0.0068,0.0049,0.0139,0.0501,0.0042,0.4498,0.0079,0.9924,0.0,False
Logistic Regression,logreg,0.005,0.75,0.4297,0.0,0.0,0.0,0.0497,0.0,0.4435,0.0008,0.9986,0.0,False
Logistic Regression,logreg,0.005,1.0,0.4622,0.0588,0.0054,0.0891,0.0592,0.0547,0.4775,0.0226,0.93,0.0,False
Logistic Regression,logreg,0.05,0.0,0.8773,0.8,0.1382,1.0,0.0451,0.4615,0.9009,0.1389,0.5177,0.0,False
Logistic Regression,logreg,0.05,0.005,0.876,0.6,0.1355,0.8187,0.0452,0.4588,0.9023,0.1376,0.5177,0.0,False
Logistic Regression,logreg,0.05,0.05,0.8697,0.6,0.1127,0.8063,0.0468,0.4539,0.8954,0.1186,0.5301,0.001,False
Logistic Regression,logreg,0.05,0.25,0.4664,0.0451,0.0135,0.0919,0.0529,0.0367,0.4893,0.02,0.9529,0.001,False
Logistic Regression,logreg,0.05,0.5,0.4546,0.0342,0.0124,0.0669,0.0523,0.0263,0.4719,0.0055,0.9688,0.0,False
Logistic Regression,logreg,0.05,0.75,0.483,0.097,0.0327,0.1375,0.0605,0.0742,0.5045,0.0047,0.9016,0.0,False
Logistic Regression,logreg,0.05,1.0,0.4809,0.105,0.0147,0.1469,0.0658,0.0901,0.4997,0.0144,0.8857,0.0,False
Logistic Regression,logreg,0.25,0.0,0.8766,0.4667,0.1627,0.5,0.0531,0.5094,0.8988,0.15,0.474,0.0,False
Logistic Regression,logreg,0.25,0.005,0.8766,0.4667,0.1613,0.5,0.0531,0.5094,0.8981,0.1486,0.4733,0.001,False
