Model,Arch,Alpha,Beta,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient,Val Accuracy,Val DPD (Largest 2 Groups),Val Positive Rate,Train Time (s),Trained This Run
Logistic Regression,logreg,0.0,0.0,0.295,0.0,0.0,0.0,0.0358,0.0,0.31,0.0,1.0,0.0,False
Logistic Regression,logreg,0.0,0.005,0.295,0.0,0.0,0.0,0.0358,0.0,0.31,0.0,1.0,0.0,False
Logistic Regression,logreg,0.0,0.05,0.295,0.0,0.0,0.0,0.0358,0.0,0.31,0.0,1.0,0.0,False
Logistic Regression,logreg,0.0,0.25,0.295,0.0,0.0,0.0,0.0358,0.0,0.31,0.0,1.0,0.0,False
Logistic Regression,logreg,0.0,0.5,0.295,0.0,0.0,0.0,0.0358,0.0,0.31,0.0,1.0,0.0,False
Logistic Regression,logreg,0.0,0.75,0.525,0.129,0.129,0.4776,0.169,0.55,0.49,0.0377,0.51,0.0,False
Logistic Regression,logreg,0.0,1.0,0.525,0.129,0.129,0.4776,0.169,0.55,0.49,0.0377,0.51,0.0,False
Logistic Regression,logreg,0.005,0.0,0.3,0.0179,0.0179,0.0256,0.0363,0.005,0.31,0.0,1.0,0.0,False
Logistic Regression,logreg,0.005,0.005,0.295,0.0,0.0,0.0,0.0358,0.0,0.31,0.0,1.0,0.0,False
Logistic Regression,logreg,0.005,0.05,0.3,0.0069,0.0069,0.0098,0.0363,0.005,0.305,0.0074,0.995,0.0,False
Logistic Regression,logreg,0.005,0.25,0.295,0.0,0.0,0.0,0.0358,0.0,0.31,0.0,1.0,0.0,False
Logistic Regression,logreg,0.005,0.5,0.32,0.0099,0.0099,0.0136,0.0385,0.025,0.31,0.0064,0.98,0.0,False
Logistic Regression,logreg,0.005,0.75,0.525,0.129,0.129,0.4776,0.169,0.55,0.49,0.0377,0.51,0.0,False
Logistic Regression,logreg,0.005,1.0,0.545,0.1339,0.1339,0.4062,0.1818,0.6,0.525,0.0175,0.465,0.0,False
Logistic Regression,logreg,0.05,0.0,0.52,0.0506,0.0506,0.1026,0.0753,0.285,0.58,0.0717,0.67,0.0,False
Logistic Regression,logreg,0.05,0.005,0.515,0.0575,0.0575,0.1124,0.0749,0.28,0.59,0.0175,0.66,0.0,False
Logistic Regression,logreg,0.05,0.05,0.525,0.0933,0.0933,0.1637,0.0756,0.29,0.59,0.0138,0.65,0.0,False
Logistic Regression,logreg,0.05,0.25,0.54,0.0714,0.0714,0.2213,0.106,0.395,0.545,0.1149,0.625,0.0,False
Logistic Regression,logreg,0.05,0.5,0.525,0.129,0.129,0.4776,0.169,0.55,0.49,0.0377,0.51,0.0,False
Logistic Regression,logreg,0.05,0.75,0.565,0.131,0.131,0.4062,0.1817,0.62,0.545,0.0119,0.445,0.0,False
Logistic Regression,logreg,0.05,1.0,0.57,0.124,0.124,0.4062,0.1816,0.625,0.545,0.0037,0.435,0.0,False
Logistic Regression,logreg,0.25,0.0,0.71,0.0069,0.0069,0.0658,0.1593,0.755,0.72,0.1792,0.3,0.0,False
Logistic Regression,logreg,0.25,0.005,0.705,0.0,0.0,0.0658,0.1606,0.75,0.73,0.1645,0.31,0.0,False
Logistic Regression,logreg,0.25,0.05,0.72,0.0317,0.0317,0.0581,0.151,0.745,0.74,0.1186,0.31,0.0,False
Logistic Regression,logreg,0.25,0.25,0.72,0.0288,0.0288,0.0739,0.1564,0.765,0.725,0.1094,0.285,0.0,False
Logistic Regression,logreg,0.25,0.5,0.72,0.0298,0.0298,0.049,0.1903,0.925,0.685,0.0046,0.075,0.0,False
Logistic Regression,logreg,0.25,0.75,0.73,0.0159,0.0159,0.049,0.1831,0.935,0.685,0.0202,0.045,0.001,False
Logistic Regression,logreg,0.25,1.0,0.715,0.005,0.005,0.0224,0.1973,0.95,0.69,0.0018,0.03,0.001,False
Logistic Regression,logreg,0.5,0.0,0.73,0.0129,0.0129,0.1134,0.1581,0.795,0.74,0.1903,0.23,0.001,False
Logistic Regression,logreg,0.5,0.005,0.73,0.0129,0.0129,0.1134,0.1581,0.795,0.74,0.1903,0.23,0.0,False
Logistic Regression,logreg,0.5,0.05,0.72,0.001,0.001,0.1134,0.1616,0.785,0.705,0.114,0.235,0.0,False
Logistic Regression,logreg,0.5,0.25,0.725,0.006,0.006,0.1134,0.1599,0.79,0.71,0.1213,0.23,0.0,False
Logistic Regression,logreg,0.5,0.5,0.73,0.0228,0.0228,0.0603,0.1605,0.805,0.725,0.1039,0.195,0.0,False
Logistic Regression,logreg,0.5,0.75,0.74,0.006,0.006,0.0211,0.1606,0.835,0.69,0.1241,0.15,0.0,False
Logistic Regression,logreg,0.5,1.0,0.735,0.001,0.001,0.0434,0.1649,0.84,0.695,0.125,0.165,0.0,False
Logistic Regression,logreg,0.75,0.0,0.745,0.0476,0.0476,0.1373,0.1543,0.82,0.7,0.1801,0.19,0.001,False
Logistic Regression,logreg,0.75,0.005,0.745,0.0476,0.0476,0.1373,0.1543,0.82,0.705,0.1728,0.195,0.001,False
Logistic Regression,logreg,0.75,0.05,0.735,0.0337,0.0337,0.1373,0.1585,0.81,0.705,0.1728,0.195,0.001,False
Logistic Regression,logreg,0.75,0.25,0.73,0.0089,0.0089,0.0784,0.1628,0.815,0.72,0.1112,0.19,0.0,False
Logistic Regression,logreg,0.75,0.5,0.735,0.002,0.002,0.0784,0.1607,0.82,0.71,0.1259,0.18,0.001,False
Logistic Regression,logreg,0.75,0.75,0.735,0.002,0.002,0.0784,0.1607,0.82,0.705,0.1103,0.175,0.0,False
Logistic Regression,logreg,0.75,1.0,0.74,0.005,0.005,0.0784,0.1586,0.825,0.705,0.1103,0.175,0.0,False
Logistic Regression,logreg,1.0,0.0,0.755,0.0615,0.0615,0.1373,0.1498,0.83,0.7,0.1949,0.18,0.001,False
Logistic Regression,logreg,1.0,0.005,0.755,0.0615,0.0615,0.1373,0.1498,0.83,0.7,0.1949,0.18,0.0,False
Logistic Regression,logreg,1.0,0.05,0.755,0.0615,0.0615,0.1373,0.1498,0.83,0.7,0.1949,0.18,0.0,False
Logistic Regression,logreg,1.0,0.25,0.755,0.0615,0.0615,0.1373,0.1498,0.83,0.7,0.1949,0.18,0.0,False
Logistic Regression,logreg,1.0,0.5,0.755,0.0615,0.0615,0.1373,0.1498,0.83,0.7,0.1949,0.18,0.0,False
Logistic Regression,logreg,1.0,0.75,0.755,0.0615,0.0615,0.1373,0.1498,0.83,0.7,0.1949,0.18,0.001,False
Logistic Regression,logreg,1.0,1.0,0.755,0.0615,0.0615,0.1373,0.1498,0.83,0.7,0.1949,0.18,0.001,False
MLP (64-64),mlp,0.0,0.0,0.295,0.0,0.0,0.0,0.0358,0.0,0.31,0.0,1.0,0.001,False
MLP (64-64),mlp,0.0,0.005,0.295,0.0,0.0,0.0,0.0358,0.0,0.31,0.0,1.0,0.001,False
MLP (64-64),mlp,0.0,0.05,0.295,0.0,0.0,0.0,0.0358,0.0,0.31,0.0,1.0,0.001,False
MLP (64-64),mlp,0.0,0.25,0.295,0.0,0.0,0.0,0.0358,0.0,0.31,0.0,1.0,0.001,False
MLP (64-64),mlp,0.0,0.5,0.295,0.0,0.0,0.0,0.0358,0.0,0.31,0.0,1.0,0.001,False
MLP (64-64),mlp,0.0,0.75,0.295,0.0,0.0,0.0,0.0358,0.0,0.31,0.0,1.0,0.001,False
MLP (64-64),mlp,0.0,1.0,0.295,0.0,0.0,0.0,0.0358,0.0,0.31,0.0,1.0,0.001,False
MLP (64-64),mlp,0.005,0.0,0.295,0.0,0.0,0.0,0.0358,0.0,0.31,0.0,1.0,0.001,False
MLP (64-64),mlp,0.005,0.005,0.295,0.0,0.0,0.0,0.0358,0.0,0.31,0.0,1.0,0.001,False
MLP (64-64),mlp,0.005,0.05,0.295,0.0,0.0,0.0,0.0358,0.0,0.31,0.0,1.0,0.001,False
MLP (64-64),mlp,0.005,0.25,0.295,0.0,0.0,0.0,0.0358,0.0,0.31,0.0,1.0,0.001,False
MLP (64-64),mlp,0.005,0.5,0.295,0.0,0.0,0.0,0.0358,0.0,0.31,0.0,1.0,0.001,False
MLP (64-64),mlp,0.005,0.75,0.295,0.0,0.0,0.0,0.0358,0.0,0.31,0.0,1.0,0.001,False
MLP (64-64),mlp,0.005,1.0,0.705,0.0,0.0,0.0,0.2092,,0.69,0.0,0.0,0.001,False
MLP (64-64),mlp,0.05,0.0,0.52,0.1151,0.1151,0.2143,0.0849,0.315,0.575,0.2316,0.655,0.001,False
MLP (64-64),mlp,0.05,0.005,0.515,0.1329,0.1329,0.2143,0.0845,0.31,0.57,0.2472,0.66,0.001,False
MLP (64-64),mlp,0.05,0.05,0.555,0.0258,0.0258,0.1905,0.0837,0.34,0.605,0.1526,0.615,0.001,False
MLP (64-64),mlp,0.05,0.25,0.295,0.0,0.0,0.0,0.0358,0.0,0.31,0.0,1.0,0.001,False
MLP (64-64),mlp,0.05,0.5,0.295,0.0,0.0,0.0,0.0358,0.0,0.31,0.0,1.0,0.001,False
MLP (64-64),mlp,0.05,0.75,0.665,0.0794,0.0794,0.2157,0.199,0.8,0.61,0.0772,0.24,0.001,False
MLP (64-64),mlp,0.05,1.0,0.705,0.0,0.0,0.0,0.2092,,0.69,0.0,0.0,0.001,False
MLP (64-64),mlp,0.25,0.0,0.735,0.0198,0.0198,0.1134,0.1563,0.8,0.695,0.0892,0.205,0.001,False
MLP (64-64),mlp,0.25,0.005,0.73,0.0228,0.0228,0.028,0.1605,0.805,0.695,0.0892,0.205,0.001,False
MLP (64-64),mlp,0.25,0.05,0.735,0.005,0.005,0.1134,0.1563,0.8,0.705,0.1452,0.245,0.001,False
MLP (64-64),mlp,0.25,0.25,0.725,0.0605,0.0605,0.0739,0.1523,0.76,0.73,0.1921,0.26,0.001,False
MLP (64-64),mlp,0.25,0.5,0.725,0.0258,0.0258,0.0332,0.1843,0.91,0.665,0.0083,0.135,0.001,False
MLP (64-64),mlp,0.25,0.75,0.705,0.0,0.0,0.0,0.2092,,0.69,0.0,0.0,0.001,False
MLP (64-64),mlp,0.25,1.0,0.705,0.0,0.0,0.0,0.2092,,0.69,0.0,0.0,0.001,False
MLP (64-64),mlp,0.5,0.0,0.745,0.004,0.004,0.0672,0.1617,0.86,0.675,0.0478,0.155,0.001,False
