Model,Family,Seed,Alpha,Beta,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient
Logistic Regression baseline (BCE only),Logistic Regression baseline,0,1.0,0.0,0.7434,0.1259,0.1259,0.1066,0.1019,0.3245
"Fair Logistic Regression (α=0.75, β=0.75)",Fair Logistic Regression,0,0.75,0.75,0.7433,0.0121,0.0121,0.0893,0.0985,0.3118
MLP (64-64) baseline (BCE only),MLP (64-64) baseline,0,1.0,0.0,0.7693,0.0904,0.0904,0.0823,0.0972,0.3486
"Fair MLP (64-64) (α=0.75, β=1.0)",Fair MLP (64-64),0,0.75,1.0,0.7667,0.0088,0.0088,0.1358,0.0953,0.3368
ExpGrad LogReg (Demographic Parity),ExpGrad LogReg (Demographic Parity),0,,,0.7506,0.0229,0.0229,0.0824,0.0975,0.3189
ExpGrad LogReg (Equalized Odds),ExpGrad LogReg (Equalized Odds),0,,,0.7292,0.0458,0.0458,0.0165,0.1086,0.3275
ThresholdOptimizer LogReg (Demographic Parity),ThresholdOptimizer LogReg (Demographic Parity),0,,,0.7492,0.0021,0.0021,0.108,0.095,0.3075
Reweighing LogReg (Kamiran-Calders),Reweighing LogReg (Kamiran-Calders),0,,,0.7496,0.0536,0.0536,0.0495,0.0982,0.3203
Random Forest (no fairness),Random Forest (no fairness),0,,,0.7422,0.0926,0.0926,0.1031,0.1212,0.3951
XGBoost (no fairness),XGBoost (no fairness),0,,,0.7705,0.0766,0.0766,0.0738,0.0981,0.3546
