Model,Arch,Alpha,Beta,Seed,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient,Soft DP,Soft GE,Val Accuracy,Val DPD (Largest 2 Groups),Val Positive Rate,Train Time (s),Trained This Run
Logistic Regression,logreg,0.0,0.0,0,0.5882,0.0081,0.0081,0.0136,0.0609,0.0133,0.0164,0.0584,0.5831,0.0128,0.986,0.616,True
Logistic Regression,logreg,0.0,0.005,0,0.5873,0.0052,0.0052,0.007,0.0609,0.0124,0.0126,0.0585,0.5824,0.0099,0.9867,0.534,True
Logistic Regression,logreg,0.0,0.05,0,0.5876,0.0009,0.0009,0.0033,0.0609,0.0127,0.0007,0.0586,0.5826,0.0019,0.9865,0.537,True
Logistic Regression,logreg,0.0,0.25,0,0.5851,0.0008,0.0008,0.006,0.0608,0.0102,0.0005,0.0587,0.579,0.0032,0.9901,0.521,True
Logistic Regression,logreg,0.0,0.5,0,0.5777,0.0005,0.0005,0.0024,0.0603,0.0022,0.0002,0.0597,0.5715,0.0015,0.9978,0.423,True
Logistic Regression,logreg,0.0,0.75,0,0.5761,0.0,0.0,0.0004,0.0602,0.0006,0.0003,0.0603,0.5699,0.0004,0.9994,0.455,True
Logistic Regression,logreg,0.0,1.0,0,0.5854,0.0046,0.0046,0.0525,0.2083,0.4269,0.001,0.1397,0.5809,0.0004,0.5724,0.042,True
Logistic Regression,logreg,0.005,0.0,0,0.5987,0.0123,0.0123,0.0162,0.0615,0.0244,0.0239,0.059,0.5931,0.0182,0.9752,0.55,True
Logistic Regression,logreg,0.005,0.005,0,0.5984,0.0098,0.0098,0.0107,0.0615,0.0239,0.0178,0.059,0.5937,0.0134,0.9748,0.551,True
Logistic Regression,logreg,0.005,0.05,0,0.5991,0.0011,0.0011,0.0096,0.0616,0.025,0.0015,0.0592,0.5935,0.0042,0.975,0.555,True
Logistic Regression,logreg,0.005,0.25,0,0.598,0.0013,0.0013,0.0084,0.0616,0.0239,0.001,0.0596,0.5935,0.005,0.9752,0.528,True
Logistic Regression,logreg,0.005,0.5,0,0.5889,0.0007,0.0007,0.0038,0.0611,0.0144,0.0004,0.0609,0.5833,0.0036,0.9858,0.476,True
Logistic Regression,logreg,0.005,0.75,0,0.5865,0.0004,0.0004,0.0051,0.061,0.012,0.0002,0.0632,0.5807,0.0041,0.9884,0.539,True
Logistic Regression,logreg,0.005,1.0,0,0.5931,0.0013,0.0013,0.0044,0.0648,0.0306,0.0009,0.111,0.5871,0.0021,0.9724,0.072,True
Logistic Regression,logreg,0.05,0.0,0,0.6536,0.041,0.041,0.05,0.0657,0.0895,0.0518,0.0651,0.6521,0.0397,0.908,0.568,True
Logistic Regression,logreg,0.05,0.005,0,0.6527,0.0333,0.0333,0.0347,0.0657,0.0886,0.0405,0.0651,0.6523,0.0305,0.9072,0.623,True
Logistic Regression,logreg,0.05,0.05,0,0.6508,0.0014,0.0014,0.03,0.0667,0.0903,0.0011,0.0656,0.6512,0.0017,0.9073,0.559,True
Logistic Regression,logreg,0.05,0.25,0,0.6552,0.0071,0.0071,0.015,0.0675,0.0973,0.0017,0.0674,0.6575,0.0023,0.8988,0.558,True
Logistic Regression,logreg,0.05,0.5,0,0.6581,0.0083,0.0083,0.0135,0.0687,0.1044,0.0013,0.0712,0.6594,0.0047,0.8917,0.502,True
Logistic Regression,logreg,0.05,0.75,0,0.6542,0.0083,0.0083,0.0135,0.0709,0.1083,0.001,0.0793,0.6547,0.0044,0.8872,0.335,True
Logistic Regression,logreg,0.05,1.0,0,0.6867,0.0158,0.0158,0.0197,0.0936,0.22,0.0002,0.1006,0.6819,0.0043,0.7746,0.379,True
Logistic Regression,logreg,0.25,0.0,0,0.726,0.0882,0.0882,0.0534,0.0816,0.2257,0.0795,0.078,0.7336,0.0806,0.7627,0.578,True
