Model,Arch,Alpha,Beta,Seed,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient,Soft DP,Soft GE,Val Accuracy,Val DPD (Largest 2 Groups),Val Positive Rate,Train Time (s),Trained This Run
Logistic Regression,logreg,0.0,0.0,7,0.366,0.0,0.0,0.0,0.0435,0.0,0.0055,0.0438,0.3747,0.0,1.0,0.81,True
Logistic Regression,logreg,0.0,0.005,7,0.366,0.0,0.0,0.0,0.0435,0.0,0.0048,0.0438,0.3747,0.0,1.0,0.804,True
Logistic Regression,logreg,0.0,0.05,7,0.366,0.0,0.0,0.0,0.0435,0.0,0.0002,0.0439,0.3747,0.0,1.0,0.929,True
Logistic Regression,logreg,0.0,0.25,7,0.366,0.0,0.0,0.0,0.0435,0.0,0.0002,0.0439,0.3747,0.0,1.0,0.953,True
Logistic Regression,logreg,0.0,0.5,7,0.366,0.0,0.0,0.0,0.0435,0.0,0.0002,0.0441,0.3747,0.0,1.0,0.849,True
Logistic Regression,logreg,0.0,0.75,7,0.366,0.0,0.0,0.0,0.0435,0.0,0.0002,0.0444,0.3747,0.0,1.0,0.792,True
Logistic Regression,logreg,0.0,1.0,7,0.4138,0.0527,0.0527,0.0776,0.1059,0.226,0.002,0.0859,0.4172,0.0952,0.7737,0.099,True
Logistic Regression,logreg,0.005,0.0,7,0.366,0.0,0.0,0.0,0.0435,0.0,0.0029,0.0458,0.3747,0.0,1.0,0.828,True
Logistic Regression,logreg,0.005,0.005,7,0.366,0.0,0.0,0.0,0.0435,0.0,0.0029,0.0458,0.3747,0.0,1.0,0.871,True
Logistic Regression,logreg,0.005,0.05,7,0.366,0.0,0.0,0.0,0.0435,0.0,0.0028,0.0459,0.3747,0.0,1.0,1.022,True
Logistic Regression,logreg,0.005,0.25,7,0.366,0.0,0.0,0.0,0.0435,0.0,0.0013,0.0474,0.3747,0.0,1.0,0.225,True
Logistic Regression,logreg,0.005,0.5,7,0.366,0.0,0.0,0.0,0.0435,0.0,0.0006,0.0497,0.3747,0.0,1.0,0.189,True
Logistic Regression,logreg,0.005,0.75,7,0.366,0.0,0.0,0.0,0.0435,0.0,0.0016,0.0573,0.3747,0.0,1.0,0.149,True
Logistic Regression,logreg,0.005,1.0,7,0.5863,0.0475,0.0475,0.0843,0.2845,0.8163,0.0034,0.098,0.5845,0.0507,0.178,0.118,True
Logistic Regression,logreg,0.05,0.0,7,0.441,0.0777,0.0777,0.0856,0.0593,0.1036,0.0818,0.0577,0.4495,0.0864,0.899,0.864,True
Logistic Regression,logreg,0.05,0.005,7,0.433,0.0373,0.0373,0.0287,0.0578,0.0932,0.0397,0.0578,0.4426,0.0493,0.9071,0.798,True
Logistic Regression,logreg,0.05,0.05,7,0.4329,0.0214,0.0214,0.0668,0.0582,0.0943,0.001,0.0583,0.441,0.0062,0.9073,0.802,True
Logistic Regression,logreg,0.05,0.25,7,0.4319,0.0269,0.0269,0.06,0.0578,0.0925,0.0001,0.0611,0.4397,0.0183,0.9094,0.693,True
Logistic Regression,logreg,0.05,0.5,7,0.3667,0.0004,0.0004,0.0011,0.0435,0.0007,0.0018,0.0699,0.3754,0.0008,0.9993,0.103,True
Logistic Regression,logreg,0.05,0.75,7,0.4572,0.0467,0.0467,0.0787,0.1024,0.2476,0.0028,0.0831,0.4684,0.0962,0.7515,0.089,True
Logistic Regression,logreg,0.05,1.0,7,0.6117,0.0551,0.0551,0.0753,0.2849,0.8699,0.0017,0.1002,0.5995,0.044,0.1216,0.07,True
Logistic Regression,logreg,0.25,0.0,7,0.6957,0.3208,0.3208,0.2885,0.1487,0.6227,0.1422,0.0791,0.6988,0.3715,0.3835,0.871,True
Logistic Regression,logreg,0.25,0.005,7,0.6949,0.2851,0.2851,0.2433,0.1488,0.6217,0.1195,0.0792,0.7001,0.3347,0.3846,0.794,True
Logistic Regression,logreg,0.25,0.05,7,0.6928,0.0343,0.0343,0.0897,0.1546,0.6374,0.003,0.0808,0.6945,0.0486,0.3736,0.806,True
Logistic Regression,logreg,0.25,0.25,7,0.6986,0.0326,0.0326,0.1062,0.1615,0.6702,0.0032,0.0826,0.6978,0.0388,0.3401,0.655,True
Logistic Regression,logreg,0.25,0.5,7,0.7015,0.0045,0.0045,0.0679,0.1759,0.7259,0.0022,0.0865,0.7004,0.0467,0.2793,0.581,True
Logistic Regression,logreg,0.25,0.75,7,0.7033,0.0114,0.0114,0.0385,0.189,0.7809,0.001,0.0923,0.6987,0.06,0.2258,0.529,True
Logistic Regression,logreg,0.25,1.0,7,0.6324,0.046,0.046,0.0643,0.2843,0.9396,0.002,0.109,0.6192,0.032,0.0571,0.072,True
Logistic Regression,logreg,0.5,0.0,7,0.7132,0.3177,0.3177,0.2735,0.1689,0.7262,0.1411,0.088,0.7101,0.3702,0.273,0.784,True
Logistic Regression,logreg,0.5,0.005,7,0.7139,0.2903,0.2903,0.2461,0.1688,0.7275,0.1313,0.0881,0.7103,0.3482,0.2718,0.875,True
Logistic Regression,logreg,0.5,0.05,7,0.7138,0.055,0.055,0.0058,0.172,0.74,0.0424,0.0888,0.7051,0.136,0.265,0.8,True
Logistic Regression,logreg,0.5,0.25,7,0.7113,0.0183,0.0183,0.0905,0.1761,0.7499,0.0044,0.0903,0.7044,0.0526,0.2549,0.799,True
Logistic Regression,logreg,0.5,0.5,7,0.7107,0.0026,0.0026,0.0692,0.1815,0.7703,0.0044,0.0919,0.7044,0.055,0.2337,0.706,True
Logistic Regression,logreg,0.5,0.75,7,0.7099,0.0078,0.0078,0.0501,0.1863,0.7891,0.0039,0.0938,0.704,0.0572,0.2161,0.65,True
Logistic Regression,logreg,0.5,1.0,7,0.7094,0.0128,0.0128,0.0374,0.1906,0.8072,0.0031,0.0961,0.7019,0.0664,0.1976,0.623,True
Logistic Regression,logreg,0.75,0.0,7,0.7155,0.288,0.288,0.2721,0.177,0.7651,0.1388,0.0921,0.7095,0.3501,0.241,0.827,True
Logistic Regression,logreg,0.75,0.005,7,0.7153,0.276,0.276,0.2615,0.1773,0.7657,0.1353,0.0921,0.7091,0.3397,0.2404,0.799,True
Logistic Regression,logreg,0.75,0.05,7,0.7137,0.1897,0.1897,0.1701,0.1799,0.7721,0.1035,0.0923,0.7069,0.2631,0.2364,0.826,True
Logistic Regression,logreg,0.75,0.25,7,0.7122,0.0015,0.0015,0.0608,0.1824,0.7786,0.0044,0.0936,0.7045,0.0536,0.2272,0.823,True
Logistic Regression,logreg,0.75,0.5,7,0.7111,0.0027,0.0027,0.0522,0.1845,0.7845,0.0049,0.0943,0.704,0.0526,0.2225,0.797,True
Logistic Regression,logreg,0.75,0.75,7,0.7101,0.0077,0.0077,0.0441,0.1864,0.7901,0.0049,0.0948,0.7032,0.0538,0.2169,0.815,True
Logistic Regression,logreg,0.75,1.0,7,0.7103,0.0105,0.0105,0.0419,0.1873,0.7947,0.0048,0.0955,0.7029,0.057,0.2118,0.842,True
Logistic Regression,logreg,1.0,0.0,7,0.7166,0.2586,0.2586,0.2487,0.1806,0.7844,0.1371,0.0944,0.706,0.339,0.2243,0.812,True
Logistic Regression,logreg,1.0,0.005,7,0.7166,0.2586,0.2586,0.2487,0.1806,0.7844,0.1371,0.0944,0.706,0.339,0.2243,0.842,True
Logistic Regression,logreg,1.0,0.05,7,0.7166,0.2586,0.2586,0.2487,0.1806,0.7844,0.1371,0.0944,0.706,0.339,0.2243,0.901,True
Logistic Regression,logreg,1.0,0.25,7,0.7166,0.2586,0.2586,0.2487,0.1806,0.7844,0.1371,0.0944,0.706,0.339,0.2243,0.819,True
Logistic Regression,logreg,1.0,0.5,7,0.7166,0.2586,0.2586,0.2487,0.1806,0.7844,0.1371,0.0944,0.706,0.339,0.2243,0.863,True
Logistic Regression,logreg,1.0,0.75,7,0.7166,0.2586,0.2586,0.2487,0.1806,0.7844,0.1371,0.0944,0.706,0.339,0.2243,0.793,True
Logistic Regression,logreg,1.0,1.0,7,0.7166,0.2586,0.2586,0.2487,0.1806,0.7844,0.1371,0.0944,0.706,0.339,0.2243,0.839,True
MLP (64-64),mlp,0.0,0.0,7,0.366,0.0,0.0,0.0,0.0435,0.0,0.0,0.0435,0.3747,0.0,1.0,0.646,True
MLP (64-64),mlp,0.0,0.005,7,0.366,0.0,0.0,0.0,0.0435,0.0,0.0,0.0435,0.3747,0.0,1.0,0.646,True
MLP (64-64),mlp,0.0,0.05,7,0.366,0.0,0.0,0.0,0.0435,0.0,0.0,0.0435,0.3747,0.0,1.0,0.658,True
MLP (64-64),mlp,0.0,0.25,7,0.366,0.0,0.0,0.0,0.0435,0.0,0.0,0.0435,0.3747,0.0,1.0,0.776,True
MLP (64-64),mlp,0.0,0.5,7,0.366,0.0,0.0,0.0,0.0435,0.0,0.0,0.0435,0.3747,0.0,1.0,1.136,True
MLP (64-64),mlp,0.0,0.75,7,0.366,0.0,0.0,0.0,0.0435,0.0,0.0,0.0435,0.3747,0.0,1.0,1.272,True
MLP (64-64),mlp,0.0,1.0,7,0.634,0.0,0.0,0.0,0.2886,,0.0,0.0944,0.6253,0.0,0.0,1.6,True
MLP (64-64),mlp,0.005,0.0,7,0.366,0.0,0.0,0.0,0.0435,0.0,0.0644,0.0442,0.3747,0.0,1.0,5.739,True
MLP (64-64),mlp,0.005,0.005,7,0.366,0.0,0.0,0.0,0.0435,0.0,0.0049,0.0443,0.3747,0.0,1.0,5.646,True
MLP (64-64),mlp,0.005,0.05,7,0.366,0.0,0.0,0.0,0.0435,0.0,0.0061,0.0445,0.3747,0.0,1.0,2.633,True
MLP (64-64),mlp,0.005,0.25,7,0.366,0.0,0.0,0.0,0.0435,0.0,0.0012,0.0467,0.3747,0.0,1.0,1.156,True
MLP (64-64),mlp,0.005,0.5,7,0.366,0.0,0.0,0.0,0.0435,0.0,0.001,0.047,0.3747,0.0,1.0,0.803,True
