Model,Arch,Alpha,Beta,Seed,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient,Soft DP,Soft GE,Val Accuracy,Val DPD (Largest 2 Groups),Val Positive Rate,Train Time (s),Trained This Run
Logistic Regression,logreg,0.0,0.0,3,0.2519,0.0083,0.0083,0.009,0.0308,0.0036,0.1141,0.029,0.2579,0.0075,0.9966,0.001,False
Logistic Regression,logreg,0.0,0.005,3,0.2501,0.0028,0.0028,0.0028,0.0306,0.0019,0.08,0.0291,0.2568,0.0041,0.9977,0.001,False
Logistic Regression,logreg,0.0,0.05,3,0.2498,0.0013,0.0013,0.0021,0.0306,0.0015,0.0028,0.0298,0.2572,0.0014,0.9973,0.001,False
Logistic Regression,logreg,0.0,0.25,3,0.2489,0.0005,0.0005,0.0008,0.0305,0.0007,0.0025,0.0306,0.2561,0.0003,0.9985,0.0,False
Logistic Regression,logreg,0.0,0.5,3,0.2494,0.0002,0.0002,0.0001,0.0305,0.0012,0.0023,0.0316,0.2555,0.001,0.999,0.0,False
Logistic Regression,logreg,0.0,0.75,3,0.2785,0.006,0.006,0.0112,0.0389,0.0478,0.0013,0.051,0.2824,0.0049,0.9533,0.0,False
Logistic Regression,logreg,0.0,1.0,3,0.7123,0.0053,0.0053,0.0175,0.1945,0.9579,0.0019,0.0745,0.7012,0.0008,0.0465,0.0,False
Logistic Regression,logreg,0.005,0.0,3,0.3193,0.1224,0.1224,0.1277,0.0385,0.0713,0.1461,0.0301,0.3282,0.1129,0.9263,0.001,False
Logistic Regression,logreg,0.005,0.005,3,0.2992,0.0517,0.0517,0.0472,0.0363,0.0512,0.1098,0.0301,0.3099,0.0457,0.9444,0.001,False
Logistic Regression,logreg,0.005,0.05,3,0.2889,0.0422,0.0422,0.0648,0.0353,0.0413,0.0035,0.031,0.2998,0.0498,0.9542,0.0,False
Logistic Regression,logreg,0.005,0.25,3,0.2636,0.0085,0.0085,0.0155,0.0322,0.0154,0.0022,0.0333,0.2693,0.0072,0.985,0.0,False
Logistic Regression,logreg,0.005,0.5,3,0.2636,0.0057,0.0057,0.0114,0.0324,0.0163,0.0011,0.0368,0.2702,0.0047,0.9836,0.001,False
Logistic Regression,logreg,0.005,0.75,3,0.2837,0.0061,0.0061,0.0152,0.0379,0.0474,0.0015,0.0498,0.2876,0.0111,0.9546,0.0,False
Logistic Regression,logreg,0.005,1.0,3,0.7422,0.0013,0.0013,0.0041,0.1732,0.9895,0.0021,0.0742,0.7321,0.003,0.0136,0.0,False
Logistic Regression,logreg,0.05,0.0,3,0.8028,0.31,0.31,0.2108,0.0718,0.6271,0.2027,0.041,0.8031,0.3284,0.3771,0.001,False
Logistic Regression,logreg,0.05,0.005,3,0.8048,0.2908,0.2908,0.1922,0.0719,0.6308,0.1821,0.041,0.8043,0.3097,0.3744,0.0,False
Logistic Regression,logreg,0.05,0.05,3,0.7706,0.0676,0.0676,0.1485,0.0805,0.6111,0.0018,0.0425,0.7711,0.0713,0.3947,0.0,False
Logistic Regression,logreg,0.05,0.25,3,0.7617,0.0097,0.0097,0.1856,0.0888,0.6301,0.0007,0.0452,0.7604,0.0057,0.3762,0.0,False
Logistic Regression,logreg,0.05,0.5,3,0.7804,0.0263,0.0263,0.1391,0.0966,0.6941,0.0016,0.0499,0.7837,0.0162,0.3098,0.0,False
Logistic Regression,logreg,0.05,0.75,3,0.786,0.0438,0.0438,0.0489,0.1187,0.8097,0.0026,0.0604,0.7959,0.052,0.1926,0.001,False
Logistic Regression,logreg,0.05,1.0,3,0.752,0.0001,0.0001,0.002,0.1649,0.9996,0.001,0.0852,0.7459,0.0011,0.0011,0.0,False
Logistic Regression,logreg,0.25,0.0,3,0.8394,0.2127,0.2127,0.1084,0.0818,0.7612,0.2025,0.05,0.8474,0.2162,0.2406,0.0,False
Logistic Regression,logreg,0.25,0.005,3,0.8399,0.2086,0.2086,0.105,0.0816,0.7615,0.1977,0.0501,0.8471,0.2101,0.2391,0.0,False
Logistic Regression,logreg,0.25,0.05,3,0.8402,0.1664,0.1664,0.0731,0.0833,0.774,0.1504,0.0509,0.8463,0.1651,0.2258,0.0,False
Logistic Regression,logreg,0.25,0.25,3,0.8273,0.0176,0.0176,0.2993,0.0927,0.7907,0.0025,0.0562,0.8297,0.0285,0.2096,0.0,False
Logistic Regression,logreg,0.25,0.5,3,0.8242,0.0108,0.0108,0.313,0.0968,0.8071,0.0032,0.0583,0.8269,0.0203,0.1919,0.001,False
Logistic Regression,logreg,0.25,0.75,3,0.8212,0.0207,0.0207,0.2588,0.1015,0.8295,0.002,0.0604,0.8268,0.0217,0.1746,0.0,False
Logistic Regression,logreg,0.25,1.0,3,0.8142,0.0249,0.0249,0.1995,0.1094,0.8594,0.0016,0.0649,0.819,0.0262,0.1447,0.0,False
Logistic Regression,logreg,0.5,0.0,3,0.842,0.1953,0.1953,0.0927,0.0833,0.7802,0.1924,0.0519,0.8459,0.1977,0.2182,0.0,False
Logistic Regression,logreg,0.5,0.005,3,0.842,0.194,0.194,0.0917,0.0834,0.7811,0.1906,0.052,0.8461,0.1963,0.218,0.0,False
Logistic Regression,logreg,0.5,0.05,3,0.8425,0.1769,0.1769,0.0789,0.0838,0.7862,0.1738,0.0524,0.8467,0.1777,0.2139,0.0,False
Logistic Regression,logreg,0.5,0.25,3,0.8383,0.0995,0.0995,0.1498,0.0882,0.8019,0.0891,0.055,0.843,0.107,0.1981,0.002,False
Logistic Regression,logreg,0.5,0.5,3,0.8268,0.0079,0.0079,0.3303,0.0967,0.8169,0.0012,0.0592,0.8292,0.0185,0.185,0.0,False
Logistic Regression,logreg,0.5,0.75,3,0.8244,0.0001,0.0001,0.3431,0.0992,0.8261,0.0033,0.0604,0.8278,0.012,0.1751,0.0,False
Logistic Regression,logreg,0.5,1.0,3,0.823,0.0016,0.0016,0.3482,0.1011,0.8344,0.0034,0.0612,0.8262,0.0102,0.1685,0.0,False
Logistic Regression,logreg,0.75,0.0,3,0.8427,0.1874,0.1874,0.0869,0.0839,0.7873,0.1869,0.0527,0.8467,0.1912,0.2108,0.001,False
Logistic Regression,logreg,0.75,0.005,3,0.8429,0.1871,0.1871,0.0864,0.0838,0.7875,0.1863,0.0528,0.8469,0.1905,0.2111,0.0,False
