Model,Arch,Alpha,Beta,Seed,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient,Soft DP,Soft GE,Val Accuracy,Val DPD (Largest 2 Groups),Val Positive Rate,Train Time (s),Trained This Run
Logistic Regression,logreg,0.0,0.0,5,0.4648,0.0238,0.0075,1.0,0.0537,0.0073,0.0326,0.0562,0.4607,0.0076,0.9943,0.18,True
Logistic Regression,logreg,0.0,0.005,5,0.4648,0.0238,0.0075,1.0,0.0537,0.0073,0.0569,0.0562,0.4615,0.0052,0.9935,0.195,True
Logistic Regression,logreg,0.0,0.05,5,0.4672,0.0238,0.0051,1.0,0.0539,0.0097,0.0653,0.0562,0.4632,0.0004,0.9919,0.188,True
Logistic Regression,logreg,0.0,0.25,5,0.4607,0.0,0.0,1.0,0.0524,0.0,0.0398,0.0565,0.4599,0.0,1.0,0.188,True
Logistic Regression,logreg,0.0,0.5,5,0.5036,0.4048,0.0892,1.0,0.194,0.4235,0.0664,0.1099,0.515,0.1345,0.553,0.031,True
Logistic Regression,logreg,0.0,0.75,5,0.5036,0.619,0.1003,1.0,0.2243,0.4899,0.0716,0.1161,0.5328,0.0794,0.4883,0.049,True
Logistic Regression,logreg,0.0,1.0,5,0.57,0.1129,0.0755,0.1489,0.3724,0.9239,0.1114,0.1732,0.5725,0.0678,0.0972,0.019,True
Logistic Regression,logreg,0.005,0.0,5,0.4696,0.0238,0.01,1.0,0.0541,0.0121,0.0382,0.0573,0.464,0.0019,0.9911,0.189,True
Logistic Regression,logreg,0.005,0.005,5,0.4696,0.0238,0.01,1.0,0.0541,0.0121,0.0739,0.0572,0.464,0.0019,0.9911,0.192,True
Logistic Regression,logreg,0.005,0.05,5,0.468,0.0238,0.0068,1.0,0.054,0.0105,0.0754,0.0573,0.464,0.0019,0.9911,0.193,True
Logistic Regression,logreg,0.005,0.25,5,0.4607,0.0,0.0,1.0,0.0524,0.0,0.0426,0.0578,0.4607,0.0015,0.9992,0.192,True
Logistic Regression,logreg,0.005,0.5,5,0.4713,0.3011,0.074,1.0,0.1371,0.2583,0.0565,0.1007,0.485,0.1324,0.698,0.038,True
Logistic Regression,logreg,0.005,0.75,5,0.4955,0.4048,0.074,1.0,0.1958,0.4202,0.0731,0.1124,0.5198,0.1056,0.5401,0.05,True
Logistic Regression,logreg,0.005,1.0,5,0.5611,0.1047,0.0602,0.1337,0.3839,0.9231,0.1004,0.1782,0.5652,0.046,0.0931,0.022,True
Logistic Regression,logreg,0.05,0.0,5,0.5368,0.1923,0.0645,1.0,0.0693,0.1134,0.1216,0.0678,0.5053,0.0612,0.9109,0.192,True
Logistic Regression,logreg,0.05,0.005,5,0.5336,0.5,0.0613,1.0,0.0691,0.1101,0.1481,0.0678,0.5036,0.0582,0.919,0.191,True
Logistic Regression,logreg,0.05,0.05,5,0.5117,0.5,0.0022,1.0,0.0647,0.0785,0.1646,0.0694,0.4874,0.0047,0.9417,0.117,True
Logistic Regression,logreg,0.05,0.25,5,0.4591,0.0458,0.0435,1.0,0.0601,0.0243,0.0165,0.0892,0.4575,0.0341,0.9798,0.043,True
