Model,Arch,Alpha,Beta,Seed,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient,Soft DP,Soft GE,Val Accuracy,Val DPD (Largest 2 Groups),Val Positive Rate,Train Time (s),Trained This Run
Logistic Regression,logreg,0.0,0.0,3,0.305,0.0,0.0,0.0,0.0369,0.0,0.0429,0.0386,0.305,0.0,1.0,0.105,True
Logistic Regression,logreg,0.0,0.005,3,0.305,0.0,0.0,0.0,0.0369,0.0,0.0342,0.0385,0.305,0.0,1.0,0.113,True
Logistic Regression,logreg,0.0,0.05,3,0.305,0.0,0.0,0.0,0.0369,0.0,0.0079,0.0385,0.305,0.0,1.0,0.112,True
Logistic Regression,logreg,0.0,0.25,3,0.305,0.0,0.0,0.0,0.0369,0.0,0.0067,0.0393,0.305,0.0,1.0,0.112,True
Logistic Regression,logreg,0.0,0.5,3,0.355,0.0505,0.0505,0.0785,0.0541,0.09,0.0081,0.065,0.305,0.04,0.89,0.016,True
Logistic Regression,logreg,0.0,0.75,3,0.4,0.0495,0.0495,0.0455,0.0713,0.175,0.019,0.0695,0.29,0.02,0.805,0.016,True
Logistic Regression,logreg,0.0,1.0,3,0.625,0.1275,0.1275,0.2669,0.2421,0.84,0.0238,0.0848,0.615,0.0,0.2,0.014,True
Logistic Regression,logreg,0.005,0.0,3,0.305,0.0,0.0,0.0,0.0369,0.0,0.0517,0.0413,0.31,0.02,0.995,0.111,True
Logistic Regression,logreg,0.005,0.005,3,0.31,0.0077,0.0077,0.0104,0.0374,0.005,0.0333,0.0411,0.305,0.0,1.0,0.115,True
Logistic Regression,logreg,0.005,0.05,3,0.31,0.0077,0.0077,0.0104,0.0374,0.005,0.0137,0.041,0.3,0.0067,0.995,0.112,True
Logistic Regression,logreg,0.005,0.25,3,0.31,0.0077,0.0077,0.0104,0.0374,0.005,0.011,0.0421,0.3,0.0067,0.995,0.107,True
Logistic Regression,logreg,0.005,0.5,3,0.425,0.1582,0.1582,0.4401,0.1298,0.36,0.0196,0.0754,0.39,0.0467,0.625,0.01,True
Logistic Regression,logreg,0.005,0.75,3,0.41,0.0824,0.0824,0.1536,0.0854,0.225,0.0251,0.0706,0.34,0.02,0.735,0.015,True
Logistic Regression,logreg,0.005,1.0,3,0.58,0.1154,0.1154,0.341,0.2443,0.775,0.0232,0.0828,0.57,0.0333,0.285,0.011,True
Logistic Regression,logreg,0.05,0.0,3,0.575,0.0703,0.0703,0.0501,0.0877,0.36,0.0052,0.0584,0.635,0.0267,0.56,0.115,True
Logistic Regression,logreg,0.05,0.005,3,0.575,0.0198,0.0198,0.0381,0.091,0.37,0.0181,0.0589,0.62,0.02,0.575,0.115,True
Logistic Regression,logreg,0.05,0.05,3,0.58,0.0275,0.0275,0.0381,0.0911,0.375,0.0229,0.0595,0.635,0.0267,0.56,0.106,True
Logistic Regression,logreg,0.05,0.25,3,0.57,0.0363,0.0363,0.0163,0.1006,0.395,0.0078,0.067,0.53,0.0333,0.535,0.016,True
Logistic Regression,logreg,0.05,0.5,3,0.55,0.1659,0.1659,0.4096,0.1696,0.565,0.0334,0.0771,0.52,0.02,0.445,0.01,True
Logistic Regression,logreg,0.05,0.75,3,0.61,0.1264,0.1264,0.2669,0.2465,0.825,0.0245,0.0832,0.615,0.0,0.2,0.011,True
Logistic Regression,logreg,0.05,1.0,3,0.61,0.1264,0.1264,0.2669,0.2465,0.825,0.0243,0.0834,0.615,0.0,0.2,0.01,True
Logistic Regression,logreg,0.25,0.0,3,0.69,0.0956,0.0956,0.1252,0.1581,0.705,0.0361,0.0851,0.725,0.0267,0.22,0.096,True
Logistic Regression,logreg,0.25,0.005,3,0.7,0.0736,0.0736,0.102,0.153,0.705,0.0276,0.0854,0.73,0.02,0.225,0.099,True
Logistic Regression,logreg,0.25,0.05,3,0.695,0.0286,0.0286,0.1885,0.1571,0.71,0.0244,0.0874,0.715,0.04,0.25,0.104,True
Logistic Regression,logreg,0.25,0.25,3,0.685,0.0637,0.0637,0.2331,0.1685,0.73,0.028,0.0894,0.72,0.06,0.225,0.109,True
Logistic Regression,logreg,0.25,0.5,3,0.705,0.0462,0.0462,0.1176,0.2087,0.97,0.0027,0.0938,0.705,0.0533,0.06,0.016,True
Logistic Regression,logreg,0.25,0.75,3,0.695,0.0154,0.0154,0.0294,0.2193,0.99,0.0018,0.0983,0.71,0.0333,0.025,0.016,True
Logistic Regression,logreg,0.25,1.0,3,0.695,0.0154,0.0154,0.0294,0.2193,0.99,0.0044,0.1018,0.7,0.02,0.015,0.016,True
Logistic Regression,logreg,0.5,0.0,3,0.7,0.0582,0.0582,0.061,0.179,0.795,0.0252,0.0931,0.75,0.02,0.165,0.113,True
Logistic Regression,logreg,0.5,0.005,3,0.69,0.0363,0.0363,0.0566,0.1852,0.795,0.0217,0.0932,0.75,0.02,0.165,0.114,True
Logistic Regression,logreg,0.5,0.05,3,0.69,0.0516,0.0516,0.1895,0.1852,0.795,0.0094,0.0945,0.73,0.0333,0.165,0.116,True
Logistic Regression,logreg,0.5,0.25,3,0.68,0.0802,0.0802,0.2636,0.1944,0.805,0.0288,0.096,0.725,0.04,0.17,0.112,True
Logistic Regression,logreg,0.5,0.5,3,0.685,0.0703,0.0703,0.1754,0.2011,0.84,0.0279,0.0972,0.735,0.0267,0.16,0.11,True
Logistic Regression,logreg,0.5,0.75,3,0.695,0.0703,0.0703,0.11,0.2149,0.94,0.0186,0.1006,0.73,0.0467,0.055,0.022,True
Logistic Regression,logreg,0.5,1.0,3,0.695,0.0154,0.0154,0.0294,0.2193,0.99,0.0019,0.1022,0.71,0.0333,0.025,0.017,True
Logistic Regression,logreg,0.75,0.0,3,0.69,0.0099,0.0099,0.0719,0.1963,0.835,0.02,0.0963,0.74,0.0067,0.155,0.12,True
Logistic Regression,logreg,0.75,0.005,3,0.69,0.0099,0.0099,0.0719,0.1963,0.835,0.0188,0.0964,0.74,0.0067,0.155,0.12,True
Logistic Regression,logreg,0.75,0.05,3,0.685,0.0044,0.0044,0.1089,0.2011,0.84,0.0074,0.0969,0.735,0.0133,0.15,0.119,True
Logistic Regression,logreg,0.75,0.25,3,0.685,0.0989,0.0989,0.2124,0.2038,0.85,0.0283,0.0985,0.745,0.04,0.15,0.119,True
Logistic Regression,logreg,0.75,0.5,3,0.685,0.0989,0.0989,0.2124,0.2038,0.85,0.0276,0.099,0.745,0.04,0.15,0.114,True
Logistic Regression,logreg,0.75,0.75,3,0.69,0.0912,0.0912,0.2124,0.2015,0.855,0.0284,0.0994,0.745,0.04,0.15,0.114,True
Logistic Regression,logreg,0.75,1.0,3,0.695,0.0835,0.0835,0.2124,0.1992,0.86,0.0283,0.0999,0.735,0.0533,0.14,0.113,True
Logistic Regression,logreg,1.0,0.0,3,0.675,0.0176,0.0176,0.0871,0.2135,0.86,0.0168,0.0982,0.735,0.0133,0.13,0.116,True
Logistic Regression,logreg,1.0,0.005,3,0.675,0.0176,0.0176,0.0871,0.2135,0.86,0.0168,0.0982,0.735,0.0133,0.13,0.12,True
Logistic Regression,logreg,1.0,0.05,3,0.675,0.0176,0.0176,0.0871,0.2135,0.86,0.0168,0.0982,0.735,0.0133,0.13,0.118,True
Logistic Regression,logreg,1.0,0.25,3,0.675,0.0176,0.0176,0.0871,0.2135,0.86,0.0168,0.0982,0.735,0.0133,0.13,0.117,True
Logistic Regression,logreg,1.0,0.5,3,0.675,0.0176,0.0176,0.0871,0.2135,0.86,0.0168,0.0982,0.735,0.0133,0.13,0.12,True
Logistic Regression,logreg,1.0,0.75,3,0.675,0.0176,0.0176,0.0871,0.2135,0.86,0.0168,0.0982,0.735,0.0133,0.13,0.119,True
Logistic Regression,logreg,1.0,1.0,3,0.675,0.0176,0.0176,0.0871,0.2135,0.86,0.0168,0.0982,0.735,0.0133,0.13,0.116,True
MLP (64-64),mlp,0.0,0.0,3,0.305,0.0,0.0,0.0,0.0369,0.0,0.0011,0.0369,0.305,0.0,1.0,0.022,True
MLP (64-64),mlp,0.0,0.005,3,0.305,0.0,0.0,0.0,0.0369,0.0,0.0004,0.0369,0.305,0.0,1.0,0.021,True
MLP (64-64),mlp,0.0,0.05,3,0.305,0.0,0.0,0.0,0.0369,0.0,0.0007,0.0369,0.305,0.0,1.0,0.023,True
MLP (64-64),mlp,0.0,0.25,3,0.305,0.0,0.0,0.0,0.0369,0.0,0.0,0.0369,0.305,0.0,1.0,0.039,True
MLP (64-64),mlp,0.0,0.5,3,0.305,0.0,0.0,0.0,0.0369,0.0,0.0001,0.0369,0.305,0.0,1.0,0.052,True
MLP (64-64),mlp,0.0,0.75,3,0.305,0.0,0.0,0.0,0.0369,0.0,0.0011,0.0667,0.305,0.0,1.0,0.022,True
MLP (64-64),mlp,0.0,1.0,3,0.305,0.0,0.0,0.0,0.0369,0.0,0.0002,0.0689,0.305,0.0,1.0,0.02,True
MLP (64-64),mlp,0.005,0.0,3,0.305,0.0,0.0,0.0,0.0369,0.0,0.005,0.0391,0.305,0.0,1.0,0.037,True
MLP (64-64),mlp,0.005,0.005,3,0.305,0.0,0.0,0.0,0.0369,0.0,0.0135,0.0392,0.305,0.0,1.0,0.037,True
MLP (64-64),mlp,0.005,0.05,3,0.305,0.0,0.0,0.0,0.0369,0.0,0.0046,0.0401,0.305,0.0,1.0,0.048,True
MLP (64-64),mlp,0.005,0.25,3,0.305,0.0,0.0,0.0,0.0369,0.0,0.0032,0.0382,0.305,0.0,1.0,0.024,True
MLP (64-64),mlp,0.005,0.5,3,0.305,0.0,0.0,0.0,0.0369,0.0,0.0024,0.0668,0.305,0.0,1.0,0.022,True
MLP (64-64),mlp,0.005,0.75,3,0.305,0.0,0.0,0.0,0.0369,0.0,0.001,0.0669,0.305,0.0,1.0,0.025,True
MLP (64-64),mlp,0.005,1.0,3,0.31,0.0143,0.0143,0.0233,0.0374,0.005,0.0003,0.0728,0.305,0.0,1.0,0.021,True
MLP (64-64),mlp,0.05,0.0,3,0.605,0.0659,0.0659,0.0283,0.0918,0.4,0.0455,0.0569,0.655,0.0667,0.55,0.025,True
MLP (64-64),mlp,0.05,0.005,3,0.62,0.0011,0.0011,0.0814,0.092,0.415,0.0268,0.0577,0.65,0.0067,0.535,0.026,True
MLP (64-64),mlp,0.05,0.05,3,0.64,0.0033,0.0033,0.1416,0.0952,0.445,0.0397,0.0569,0.645,0.0667,0.49,0.031,True
MLP (64-64),mlp,0.05,0.25,3,0.35,0.0187,0.0187,0.037,0.0447,0.055,0.0182,0.0588,0.38,0.06,0.915,0.02,True
MLP (64-64),mlp,0.05,0.5,3,0.305,0.0,0.0,0.0,0.0369,0.0,0.0002,0.0692,0.305,0.0,1.0,0.014,True
MLP (64-64),mlp,0.05,0.75,3,0.675,0.1385,0.1385,0.3007,0.199,0.81,0.0008,0.0745,0.72,0.06,0.145,0.025,True
MLP (64-64),mlp,0.05,1.0,3,0.695,0.0,0.0,0.0,0.2194,,0.0021,0.0811,0.695,0.0,0.0,0.03,True
MLP (64-64),mlp,0.25,0.0,3,0.7,0.0407,0.0407,0.0991,0.1379,0.655,0.006,0.083,0.725,0.0533,0.28,0.026,True
MLP (64-64),mlp,0.25,0.005,3,0.685,0.011,0.011,0.1362,0.1433,0.65,0.0013,0.0833,0.725,0.0533,0.28,0.027,True
MLP (64-64),mlp,0.25,0.05,3,0.68,0.0626,0.0626,0.2691,0.144,0.645,0.0233,0.0836,0.725,0.08,0.28,0.027,True
MLP (64-64),mlp,0.25,0.25,3,0.66,0.1198,0.1198,0.2179,0.1598,0.665,0.0452,0.0859,0.72,0.0333,0.245,0.028,True
MLP (64-64),mlp,0.25,0.5,3,0.695,0.0418,0.0418,0.1296,0.1631,0.73,0.0407,0.0924,0.715,0.0133,0.23,0.035,True
