Model,Seeds,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient
Logistic Regression baseline,10,0.746 ± 0.004,0.122 ± 0.008,0.122 ± 0.008,0.109 ± 0.009,0.102 ± 0.002,0.333 ± 0.005
Fair Logistic Regression,10,0.747 ± 0.004,0.009 ± 0.007,0.009 ± 0.007,0.096 ± 0.015,0.097 ± 0.003,0.314 ± 0.012
MLP (64-64) baseline,10,0.769 ± 0.004,0.088 ± 0.007,0.088 ± 0.007,0.084 ± 0.008,0.099 ± 0.003,0.358 ± 0.007
Fair MLP (64-64),10,0.766 ± 0.004,0.016 ± 0.010,0.016 ± 0.010,0.128 ± 0.029,0.094 ± 0.005,0.336 ± 0.020
ExpGrad LogReg (Demographic Parity),10,0.754 ± 0.004,0.020 ± 0.008,0.020 ± 0.008,0.092 ± 0.017,0.098 ± 0.002,0.328 ± 0.006
ExpGrad LogReg (Equalized Odds),10,0.735 ± 0.006,0.046 ± 0.010,0.046 ± 0.010,0.026 ± 0.011,0.107 ± 0.002,0.334 ± 0.004
ThresholdOptimizer LogReg (Demographic Parity),10,0.752 ± 0.005,0.007 ± 0.007,0.007 ± 0.007,0.114 ± 0.013,0.097 ± 0.003,0.324 ± 0.014
Reweighing LogReg (Kamiran-Calders),10,0.754 ± 0.005,0.047 ± 0.010,0.047 ± 0.010,0.061 ± 0.014,0.098 ± 0.002,0.331 ± 0.006
Random Forest (no fairness),10,0.738 ± 0.005,0.102 ± 0.008,0.102 ± 0.008,0.123 ± 0.010,0.124 ± 0.003,0.402 ± 0.005
XGBoost (no fairness),10,0.770 ± 0.004,0.070 ± 0.009,0.070 ± 0.009,0.071 ± 0.005,0.099 ± 0.002,0.360 ± 0.006
