Model,Seeds,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient
Logistic Regression baseline,10,0.709 ± 0.006,0.285 ± 0.029,0.285 ± 0.029,0.279 ± 0.036,0.187 ± 0.005,0.781 ± 0.006
Fair Logistic Regression,10,0.705 ± 0.006,0.019 ± 0.010,0.019 ± 0.010,0.052 ± 0.024,0.187 ± 0.007,0.769 ± 0.020
MLP (64-64) baseline,10,0.731 ± 0.005,0.243 ± 0.017,0.243 ± 0.017,0.222 ± 0.020,0.164 ± 0.005,0.747 ± 0.010
Fair MLP (64-64),10,0.727 ± 0.004,0.020 ± 0.007,0.020 ± 0.007,0.073 ± 0.022,0.166 ± 0.006,0.744 ± 0.015
ExpGrad LogReg (Demographic Parity),10,0.705 ± 0.006,0.017 ± 0.015,0.017 ± 0.015,0.045 ± 0.017,0.190 ± 0.005,0.784 ± 0.005
ExpGrad LogReg (Equalized Odds),10,0.706 ± 0.006,0.051 ± 0.014,0.051 ± 0.014,0.025 ± 0.012,0.188 ± 0.005,0.780 ± 0.007
ThresholdOptimizer LogReg (Demographic Parity),10,0.705 ± 0.005,0.012 ± 0.008,0.012 ± 0.008,0.059 ± 0.015,0.183 ± 0.003,0.756 ± 0.014
Reweighing LogReg (Kamiran-Calders),10,0.706 ± 0.005,0.046 ± 0.016,0.046 ± 0.016,0.026 ± 0.009,0.190 ± 0.005,0.785 ± 0.005
Random Forest (no fairness),10,0.713 ± 0.006,0.188 ± 0.018,0.188 ± 0.018,0.184 ± 0.022,0.161 ± 0.004,0.691 ± 0.004
XGBoost (no fairness),10,0.732 ± 0.007,0.248 ± 0.013,0.248 ± 0.013,0.227 ± 0.017,0.161 ± 0.005,0.734 ± 0.005
