Dataset,Role,Arch,alpha*,Variant,DPD2 base,DPD2 variant,DPD2 change %,DPD2 p_holm,GE2 base,GE2 variant,GE2 change %,GE2 p_holm,Acc base,Acc variant,Acc change %,Acc p_holm
COMPAS (race),main,LR,0.75,individual only (β=0),0.3044700000000001,0.30538000000000004,0.29888002102012223,0.845703125,0.1907,0.18097000000000002,-5.1022548505505965,0.0078125,0.6762699999999999,0.6736899999999999,-0.3815044287045155,0.421875
COMPAS (race),main,LR,0.75,group only (β=1),0.3044700000000001,0.06719,-77.93214438204093,0.0078125,0.1907,0.21681,13.691662296801255,0.0078125,0.6762699999999999,0.65003,-3.8801070578319212,0.0078125
COMPAS (race),main,MLP,0.75,individual only (β=0),0.28393999999999997,0.27413,-3.4549552722406096,0.2109375,0.17708,0.16975,-4.1393720352382966,0.0078125,0.68227,0.6847000000000001,0.3561639820012668,0.2109375
COMPAS (race),main,MLP,0.75,group only (β=1),0.28393999999999997,0.07704000000000001,-72.86750721983518,0.0078125,0.17708,0.20226000000000002,14.219561779986467,0.0078125,0.68227,0.6609,-3.1321910680522373,0.0078125
Adult (sex),main,LR,0.75,individual only (β=0),0.1844,0.18881,2.391540130151842,0.0078125,0.08385000000000001,0.08322,-0.7513416815742463,0.01171875,0.84496,0.8451600000000001,0.023669759515253855,0.21875
Adult (sex),main,LR,0.75,group only (β=1),0.1844,0.0401,-78.25379609544468,0.0078125,0.08385000000000001,0.09398000000000001,12.081097197376264,0.0078125,0.84496,0.83332,-1.3775800037871726,0.0078125
Adult (sex),main,MLP,0.5,individual only (β=0),0.18234999999999998,0.19145,4.990403071017289,0.0078125,0.08033,0.07854999999999998,-2.215859579235675,0.0078125,0.85076,0.8511899999999999,0.050543043866652225,0.64453125
Adult (sex),main,MLP,0.5,group only (β=1),0.18234999999999998,0.009250000000000001,-94.92733753770223,0.0078125,0.08033,0.09466,17.838914477779156,0.0078125,0.85076,0.8312000000000002,-2.2991207861206218,0.0078125
ACS Public Coverage (race),main,LR,0.5,individual only (β=0),0.28512,0.32577,14.257154882154891,0.0078125,0.18689999999999998,0.17429,-6.746923488496514,0.0078125,0.70855,0.70759,-0.1354879683861352,0.193359375
ACS Public Coverage (race),main,LR,0.5,group only (β=1),0.28512,0.03268,-88.53815937149271,0.0078125,0.18689999999999998,0.19712000000000002,5.468164794007509,0.0078125,0.70855,0.70252,-0.8510338014254435,0.0078125
ACS Public Coverage (race),main,MLP,0.75,individual only (β=0),0.24311,0.24873999999999996,2.315824112541635,0.48046875,0.16408,0.16041999999999998,-2.230619210141409,0.015625,0.73122,0.7316,0.05196794398403312,0.48046875
ACS Public Coverage (race),main,MLP,0.75,group only (β=1),0.24311,0.0183,-92.47254329315948,0.0078125,0.16408,0.16802,2.4012676743052164,0.0078125,0.73122,0.72679,-0.6058368206558812,0.0078125
ACS Employment (sex),boundary,LR,0.75,individual only (β=0),0.12229000000000001,0.11343,-7.245073186687387,0.0078125,0.10236,0.09824000000000001,-4.025009769441186,0.0078125,0.7458400000000001,0.74627,0.057653115949792236,0.359375
ACS Employment (sex),boundary,LR,0.75,group only (β=1),0.12229000000000001,0.009340000000000001,-92.3624172050045,0.0078125,0.10236,0.09921999999999999,-3.067604533020728,0.0078125,0.7458400000000001,0.7471599999999999,0.1769816582644906,0.130859375
ACS Employment (sex),boundary,MLP,0.75,individual only (β=0),0.08762,0.08037000000000001,-8.274366582971915,0.015625,0.09874,0.09617,-2.6027952197690793,0.029296875,0.7688900000000001,0.76813,-0.09884378779800672,0.1796875
ACS Employment (sex),boundary,MLP,0.75,group only (β=1),0.08762,0.01703,-80.56379821958457,0.0078125,0.09874,0.09608,-2.6939436905002996,0.015625,0.7688900000000001,0.76625,-0.3433521049825185,0.015625
