Dataset,Role,Arch,"r(val, test) DPD2",SNR,Spread ratio acc:DPD2,Selected beta (mean),Distinct selected configs
COMPAS (race),main,LR,0.943717664692126,1.682114106424904,0.7647127058501042,0.625,5
COMPAS (race),main,MLP,0.8925701351130325,1.5353488541098175,0.755103376361556,0.6,5
Adult (sex),main,LR,0.9914833192951504,12.906565092298456,1.830621767677358,0.575,4
Adult (sex),main,MLP,0.9917840699270034,7.1855430638250954,1.6582583048377904,0.65,3
ACS Public Coverage (race),main,LR,0.985483634636643,5.922141371720514,0.8432501998839665,0.4,5
ACS Public Coverage (race),main,MLP,0.9841780998492886,6.783305918079669,0.6549084912490608,0.525,6
ACS Employment (sex),boundary,LR,0.9658709481403105,6.044597587476474,1.4483717305365669,0.6,4
ACS Employment (sex),boundary,MLP,0.9044004656429463,3.455946455442064,1.9862927006751006,0.55,6
Taiwan Credit (sex),discussion,LR,0.8990166258121169,3.2777192685687373,7.469405414908504,0.05,2
Taiwan Credit (sex),discussion,MLP,0.7730063006997973,1.9861034170601615,1.2445140718890437,0.7,9
German Credit (sex),discussion,LR,0.08326754754026149,0.45316177791537865,6.569371580394428,0.18650000000000003,8
German Credit (sex),discussion,MLP,0.11160049341351048,0.5112134107660471,4.5042160731169725,0.41,10
