Model,Seeds,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient
Logistic Regression baseline,10,0.730 ± 0.040,0.046 ± 0.018,0.046 ± 0.018,0.090 ± 0.059,0.175 ± 0.035,0.869 ± 0.043
Fair Logistic Regression,10,0.725 ± 0.040,0.044 ± 0.027,0.044 ± 0.027,0.107 ± 0.057,0.166 ± 0.035,0.818 ± 0.070
MLP (64-64) baseline,10,0.724 ± 0.034,0.060 ± 0.052,0.060 ± 0.052,0.106 ± 0.064,0.164 ± 0.027,0.810 ± 0.055
Fair MLP (64-64),10,0.716 ± 0.035,0.069 ± 0.052,0.069 ± 0.052,0.127 ± 0.082,0.162 ± 0.036,0.778 ± 0.075
ExpGrad LogReg (Demographic Parity),10,0.730 ± 0.030,0.042 ± 0.042,0.042 ± 0.042,0.104 ± 0.086,0.163 ± 0.022,0.818 ± 0.036
ExpGrad LogReg (Equalized Odds),10,0.728 ± 0.034,0.032 ± 0.034,0.032 ± 0.034,0.106 ± 0.054,0.164 ± 0.025,0.816 ± 0.033
ThresholdOptimizer LogReg (Demographic Parity),10,0.731 ± 0.032,0.038 ± 0.029,0.038 ± 0.029,0.129 ± 0.060,0.162 ± 0.025,0.820 ± 0.058
Reweighing LogReg (Kamiran-Calders),10,0.734 ± 0.034,0.049 ± 0.033,0.049 ± 0.033,0.118 ± 0.078,0.162 ± 0.025,0.822 ± 0.027
Random Forest (no fairness),10,0.742 ± 0.036,0.063 ± 0.047,0.063 ± 0.047,0.133 ± 0.086,0.156 ± 0.027,0.819 ± 0.026
XGBoost (no fairness),10,0.738 ± 0.036,0.067 ± 0.066,0.067 ± 0.066,0.152 ± 0.102,0.148 ± 0.024,0.771 ± 0.027
