Model,Arch,Alpha,Beta,Seed,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient,Soft DP,Soft GE,Val Accuracy,Val DPD (Largest 2 Groups),Val Positive Rate,Train Time (s),Trained This Run
Logistic Regression,logreg,0.0,0.0,2,0.2228,0.0006,0.0006,0.0007,0.0274,0.0003,0.0398,0.0287,0.2213,0.0003,0.9998,0.308,True
Logistic Regression,logreg,0.0,0.005,2,0.2228,0.0006,0.0006,0.0007,0.0274,0.0003,0.0306,0.0287,0.2213,0.0003,0.9998,0.321,True
Logistic Regression,logreg,0.0,0.05,2,0.2232,0.0003,0.0003,0.0004,0.0275,0.0007,0.0006,0.0289,0.2213,0.0003,0.9998,0.314,True
Logistic Regression,logreg,0.0,0.25,2,0.2233,0.0,0.0,0.0001,0.0275,0.0008,0.001,0.029,0.2212,0.0,1.0,0.312,True
Logistic Regression,logreg,0.0,0.5,2,0.3787,0.0478,0.0478,0.059,0.0587,0.2028,0.0092,0.0419,0.3745,0.0127,0.8003,0.044,True
Logistic Regression,logreg,0.0,0.75,2,0.332,0.0093,0.0093,0.0128,0.0495,0.1425,0.0056,0.0399,0.333,0.0031,0.8592,0.061,True
Logistic Regression,logreg,0.0,1.0,2,0.643,0.0083,0.0083,0.0174,0.1342,0.6505,0.0062,0.0656,0.6402,0.0103,0.3393,0.054,True
Logistic Regression,logreg,0.005,0.0,2,0.2237,0.0011,0.0011,0.0013,0.0276,0.0015,0.0458,0.031,0.2212,0.0016,0.999,0.336,True
Logistic Regression,logreg,0.005,0.005,2,0.2237,0.0011,0.0011,0.0013,0.0276,0.0015,0.0179,0.031,0.2215,0.0009,0.999,0.288,True
Logistic Regression,logreg,0.005,0.05,2,0.2242,0.0009,0.0009,0.0016,0.0277,0.002,0.0024,0.0312,0.2215,0.0002,0.999,0.314,True
Logistic Regression,logreg,0.005,0.25,2,0.2253,0.0034,0.0034,0.0047,0.028,0.0038,0.0028,0.0324,0.2232,0.0,0.997,0.234,True
Logistic Regression,logreg,0.005,0.5,2,0.3842,0.0459,0.0459,0.0558,0.06,0.2107,0.0099,0.0422,0.3845,0.0095,0.7893,0.05,True
Logistic Regression,logreg,0.005,0.75,2,0.428,0.01,0.01,0.0115,0.0767,0.2935,0.0023,0.0444,0.4267,0.0198,0.7132,0.047,True
Logistic Regression,logreg,0.005,1.0,2,0.7483,0.0183,0.0183,0.017,0.1356,0.8172,0.004,0.0666,0.75,0.0106,0.1805,0.098,True
Logistic Regression,logreg,0.05,0.0,2,0.5573,0.0931,0.0931,0.0938,0.0926,0.4422,0.0323,0.0454,0.5582,0.1212,0.553,0.106,True
Logistic Regression,logreg,0.05,0.005,2,0.5587,0.0018,0.0018,0.0159,0.0939,0.4472,0.006,0.0455,0.5562,0.0303,0.552,0.119,True
Logistic Regression,logreg,0.05,0.05,2,0.5802,0.0556,0.0556,0.079,0.0961,0.473,0.0044,0.046,0.5783,0.0295,0.5238,0.101,True
