Model,Family,Seed,Alpha,Beta,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient
Logistic Regression baseline (BCE only),Logistic Regression baseline,5,1.0,0.0,0.8142,0.0201,0.0201,0.0207,0.1126,0.9193
"Fair Logistic Regression (α=0.25, β=0.05)",Fair Logistic Regression,5,0.25,0.05,0.8173,0.0191,0.0191,0.0116,0.106,0.8722
MLP (64-64) baseline (BCE only),MLP (64-64) baseline,5,1.0,0.0,0.8197,0.0437,0.0437,0.0651,0.1043,0.8698
"Fair MLP (64-64) (α=0.25, β=1.0)",Fair MLP (64-64),5,0.25,1.0,0.8227,0.0226,0.0226,0.0278,0.1033,0.8772
ExpGrad LogReg (Demographic Parity),ExpGrad LogReg (Demographic Parity),5,,,0.8117,0.0278,0.0278,0.0399,0.1149,0.9285
ExpGrad LogReg (Equalized Odds),ExpGrad LogReg (Equalized Odds),5,,,0.8118,0.0293,0.0293,0.0503,0.1148,0.929
ThresholdOptimizer LogReg (Demographic Parity),ThresholdOptimizer LogReg (Demographic Parity),5,,,0.8175,0.0092,0.0092,0.024,0.1077,0.8887
Reweighing LogReg (Kamiran-Calders),Reweighing LogReg (Kamiran-Calders),5,,,0.8108,0.0117,0.0117,0.0058,0.1155,0.9297
Random Forest (no fairness),Random Forest (no fairness),5,,,0.8148,0.0336,0.0336,0.0493,0.1075,0.8717
XGBoost (no fairness),XGBoost (no fairness),5,,,0.8198,0.0345,0.0345,0.046,0.1048,0.8743
