Model,Family,Seed,Alpha,Beta,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient
Logistic Regression baseline (BCE only),Logistic Regression baseline,3,1.0,0.0,0.8243,0.1056,0.0212,0.3034,0.1048,0.92
"Fair Logistic Regression (α=0.25, β=0.25)",Fair Logistic Regression,3,0.25,0.25,0.824,0.0606,0.0196,0.1342,0.103,0.8967
MLP (64-64) baseline (BCE only),MLP (64-64) baseline,3,1.0,0.0,0.8315,0.149,0.061,0.4615,0.0967,0.8802
"Fair MLP (64-64) (α=0.5, β=0.5)",Fair MLP (64-64),3,0.5,0.5,0.832,0.0883,0.0394,0.2444,0.0969,0.885
ExpGrad LogReg (Demographic Parity),ExpGrad LogReg (Demographic Parity),3,,,0.8208,0.027,0.0119,0.0985,0.1055,0.9022
ExpGrad LogReg (Equalized Odds),ExpGrad LogReg (Equalized Odds),3,,,0.8042,0.0343,0.0129,0.2374,0.1198,0.9388
ThresholdOptimizer LogReg (Demographic Parity),ThresholdOptimizer LogReg (Demographic Parity),3,,,0.8277,0.0165,0.0096,0.0797,0.1004,0.8937
Reweighing LogReg (Kamiran-Calders),Reweighing LogReg (Kamiran-Calders),3,,,0.823,0.0464,0.0109,0.2487,0.1064,0.9303
Random Forest (no fairness),Random Forest (no fairness),3,,,0.8258,0.1414,0.0516,0.4444,0.0996,0.8755
XGBoost (no fairness),XGBoost (no fairness),3,,,0.8283,0.148,0.0498,0.4487,0.0985,0.8793
