Model,Arch,Alpha,Beta,Seed,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient,Soft DP,Soft GE,Val Accuracy,Val DPD (Largest 2 Groups),Val Positive Rate,Train Time (s),Trained This Run
Logistic Regression,logreg,0.0,0.0,6,0.2278,0.0024,0.0024,0.003,0.028,0.0008,0.0854,0.0294,0.2262,0.0014,0.9993,0.423,True
Logistic Regression,logreg,0.0,0.005,6,0.2273,0.001,0.001,0.0012,0.0279,0.0003,0.0571,0.0293,0.226,0.0009,0.9995,0.507,True
Logistic Regression,logreg,0.0,0.05,6,0.227,0.0,0.0,0.0,0.0279,0.0,0.0023,0.0302,0.2262,0.0006,0.9993,0.435,True
Logistic Regression,logreg,0.0,0.25,6,0.2273,0.0011,0.0005,0.0014,0.0279,0.0003,0.002,0.0305,0.2262,0.0006,0.9993,0.451,True
Logistic Regression,logreg,0.0,0.5,6,0.2273,0.0005,0.0001,0.0006,0.0279,0.0003,0.0039,0.031,0.2257,0.0006,0.9995,0.436,True
Logistic Regression,logreg,0.0,0.75,6,0.2302,0.0064,0.0013,0.1,0.0287,0.0048,0.008,0.0416,0.2285,0.0005,0.9957,0.158,True
Logistic Regression,logreg,0.0,1.0,6,0.7105,0.0427,0.0261,0.0511,0.174,0.8785,0.0062,0.0638,0.7103,0.0229,0.1232,0.04,True
Logistic Regression,logreg,0.005,0.0,6,0.2292,0.0058,0.0048,0.0072,0.0284,0.0028,0.1205,0.0319,0.2263,0.0016,0.9985,0.47,True
Logistic Regression,logreg,0.005,0.005,6,0.2288,0.0048,0.0038,0.006,0.0283,0.0025,0.0486,0.032,0.2262,0.0016,0.9987,0.457,True
Logistic Regression,logreg,0.005,0.05,6,0.2283,0.0032,0.0019,0.0043,0.0283,0.002,0.0023,0.0324,0.2263,0.0006,0.9988,0.442,True
Logistic Regression,logreg,0.005,0.25,6,0.2313,0.0084,0.0003,0.0114,0.0285,0.0047,0.0031,0.0347,0.2272,0.0009,0.9973,0.271,True
Logistic Regression,logreg,0.005,0.5,6,0.2305,0.0053,0.0012,0.0072,0.0284,0.0038,0.007,0.0372,0.2263,0.0004,0.9982,0.215,True
Logistic Regression,logreg,0.005,0.75,6,0.2333,0.0114,0.004,0.096,0.0295,0.0093,0.0083,0.0427,0.2323,0.0027,0.9902,0.154,True
Logistic Regression,logreg,0.005,1.0,6,0.7347,0.0227,0.0211,0.0487,0.1698,0.9323,0.0035,0.0676,0.7387,0.0142,0.0668,0.073,True
Logistic Regression,logreg,0.05,0.0,6,0.5943,0.5186,0.1158,0.6464,0.1006,0.4953,0.1727,0.0476,0.5835,0.1338,0.5147,0.195,True
Logistic Regression,logreg,0.05,0.005,6,0.596,0.0345,0.0345,0.2265,0.1009,0.4977,0.0294,0.0477,0.5837,0.0664,0.5122,0.194,True
Logistic Regression,logreg,0.05,0.05,6,0.6287,0.1195,0.0896,0.2229,0.106,0.5453,0.0067,0.0483,0.6175,0.059,0.46,0.217,True
Logistic Regression,logreg,0.05,0.25,6,0.7165,0.0899,0.0832,0.1222,0.1194,0.6952,0.0102,0.0511,0.7105,0.1035,0.306,0.104,True
Logistic Regression,logreg,0.05,0.5,6,0.7888,0.1011,0.0078,0.1989,0.1184,0.8382,0.0128,0.0567,0.7872,0.014,0.164,0.125,True
Logistic Regression,logreg,0.05,0.75,6,0.7653,0.0076,0.0018,0.0684,0.1522,0.9747,0.0071,0.067,0.7693,0.0089,0.0248,0.109,True
Logistic Regression,logreg,0.05,1.0,6,0.7723,0.0074,0.0013,0.1,0.1474,0.9973,0.0056,0.0838,0.7723,0.0019,0.0042,0.248,True
Logistic Regression,logreg,0.25,0.0,6,0.8077,0.1596,0.0485,0.3874,0.1123,0.871,0.1862,0.0671,0.8137,0.0613,0.1245,0.433,True
Logistic Regression,logreg,0.25,0.005,6,0.8078,0.1195,0.0469,0.2794,0.1125,0.8735,0.0735,0.0673,0.814,0.0615,0.1235,0.422,True
Logistic Regression,logreg,0.25,0.05,6,0.8058,0.0931,0.0216,0.2478,0.1143,0.8782,0.0084,0.0674,0.8103,0.0385,0.1222,0.223,True
Logistic Regression,logreg,0.25,0.25,6,0.8063,0.0784,0.0142,0.235,0.1152,0.8877,0.0078,0.0687,0.8098,0.0347,0.111,0.288,True
Logistic Regression,logreg,0.25,0.5,6,0.8035,0.0522,0.0078,0.1846,0.1196,0.9135,0.0087,0.0692,0.8085,0.0138,0.092,0.185,True
Logistic Regression,logreg,0.25,0.75,6,0.7975,0.0429,0.0033,0.1864,0.1261,0.9455,0.0103,0.0718,0.7997,0.0064,0.0562,0.195,True
Logistic Regression,logreg,0.25,1.0,6,0.7882,0.0326,0.0003,0.1028,0.1343,0.9735,0.0109,0.0756,0.7862,0.0013,0.026,0.173,True
Logistic Regression,logreg,0.5,0.0,6,0.8052,0.1145,0.0232,0.2863,0.1178,0.9052,0.1742,0.0717,0.8105,0.0372,0.0987,0.412,True
Logistic Regression,logreg,0.5,0.005,6,0.8043,0.0997,0.0227,0.2863,0.1184,0.9057,0.1487,0.0718,0.8107,0.0362,0.0982,0.436,True
Logistic Regression,logreg,0.5,0.05,6,0.8042,0.0482,0.0061,0.2048,0.1186,0.9072,0.0078,0.072,0.8092,0.0203,0.094,0.347,True
Logistic Regression,logreg,0.5,0.25,6,0.805,0.0459,0.0046,0.1947,0.1184,0.911,0.0074,0.0729,0.8083,0.0165,0.0888,0.47,True
Logistic Regression,logreg,0.5,0.5,6,0.8042,0.0402,0.0059,0.1846,0.1193,0.9152,0.0079,0.0734,0.8085,0.0157,0.0847,0.383,True
Logistic Regression,logreg,0.5,0.75,6,0.8038,0.0333,0.0063,0.162,0.1201,0.9222,0.0071,0.0742,0.8075,0.0102,0.0793,0.389,True
Logistic Regression,logreg,0.5,1.0,6,0.8033,0.0386,0.0081,0.1469,0.121,0.9293,0.0071,0.0745,0.8052,0.0057,0.0717,0.327,True
Logistic Regression,logreg,0.75,0.0,6,0.8035,0.0966,0.018,0.2593,0.1199,0.9165,0.1667,0.0735,0.8088,0.025,0.0857,0.44,True
Logistic Regression,logreg,0.75,0.005,6,0.8038,0.0945,0.018,0.2593,0.1197,0.9168,0.1602,0.0736,0.8088,0.025,0.0853,0.425,True
Logistic Regression,logreg,0.75,0.05,6,0.8043,0.0412,0.0166,0.1593,0.1194,0.918,0.0162,0.0739,0.8082,0.0208,0.084,0.458,True
Logistic Regression,logreg,0.75,0.25,6,0.8043,0.0343,0.0058,0.172,0.1197,0.9207,0.0074,0.0743,0.807,0.0107,0.0785,0.424,True
Logistic Regression,logreg,0.75,0.5,6,0.8042,0.0322,0.0035,0.172,0.1199,0.9225,0.0077,0.0745,0.807,0.0096,0.0778,0.397,True
Logistic Regression,logreg,0.75,0.75,6,0.8038,0.0343,0.005,0.167,0.1201,0.9218,0.0081,0.0746,0.8058,0.0115,0.078,0.384,True
Logistic Regression,logreg,0.75,1.0,6,0.804,0.0333,0.0036,0.1695,0.12,0.9227,0.0078,0.0748,0.8058,0.0111,0.0783,0.413,True
Logistic Regression,logreg,1.0,0.0,6,0.803,0.0872,0.014,0.2469,0.1207,0.9223,0.1623,0.0746,0.8062,0.0188,0.078,0.438,True
Logistic Regression,logreg,1.0,0.005,6,0.803,0.0872,0.014,0.2469,0.1207,0.9223,0.1623,0.0746,0.8062,0.0188,0.078,0.438,True
Logistic Regression,logreg,1.0,0.05,6,0.803,0.0872,0.014,0.2469,0.1207,0.9223,0.1623,0.0746,0.8062,0.0188,0.078,0.429,True
Logistic Regression,logreg,1.0,0.25,6,0.803,0.0872,0.014,0.2469,0.1207,0.9223,0.1623,0.0746,0.8062,0.0188,0.078,0.448,True
Logistic Regression,logreg,1.0,0.5,6,0.803,0.0872,0.014,0.2469,0.1207,0.9223,0.1623,0.0746,0.8062,0.0188,0.078,0.467,True
Logistic Regression,logreg,1.0,0.75,6,0.803,0.0872,0.014,0.2469,0.1207,0.9223,0.1623,0.0746,0.8062,0.0188,0.078,0.444,True
Logistic Regression,logreg,1.0,1.0,6,0.803,0.0872,0.014,0.2469,0.1207,0.9223,0.1623,0.0746,0.8062,0.0188,0.078,0.454,True
MLP (64-64),mlp,0.0,0.0,6,0.227,0.0,0.0,0.0,0.0279,0.0,0.0127,0.0279,0.2255,0.0,1.0,0.156,True
MLP (64-64),mlp,0.0,0.005,6,0.227,0.0,0.0,0.0,0.0279,0.0,0.004,0.0279,0.2255,0.0,1.0,0.159,True
MLP (64-64),mlp,0.0,0.05,6,0.227,0.0,0.0,0.0,0.0279,0.0,0.0002,0.0279,0.2255,0.0,1.0,0.235,True
MLP (64-64),mlp,0.0,0.25,6,0.227,0.0,0.0,0.0,0.0279,0.0,0.0002,0.0279,0.2255,0.0,1.0,0.316,True
MLP (64-64),mlp,0.0,0.5,6,0.227,0.0,0.0,0.0,0.0279,0.0,0.0006,0.0279,0.2255,0.0,1.0,0.547,True
MLP (64-64),mlp,0.0,0.75,6,0.227,0.0,0.0,0.0,0.0279,0.0,0.0009,0.0284,0.2255,0.0,1.0,1.814,True
MLP (64-64),mlp,0.0,1.0,6,0.773,0.0,0.0,0.0,0.1468,,0.0,0.0594,0.7745,0.0,0.0,0.328,True
MLP (64-64),mlp,0.005,0.0,6,0.227,0.0,0.0,0.0,0.0279,0.0,0.1026,0.0304,0.2255,0.0,1.0,0.877,True
MLP (64-64),mlp,0.005,0.005,6,0.227,0.0,0.0,0.0,0.0279,0.0,0.0119,0.0303,0.2255,0.0,1.0,0.734,True
MLP (64-64),mlp,0.005,0.05,6,0.227,0.0,0.0,0.0,0.0279,0.0,0.0087,0.0304,0.2255,0.0,1.0,0.666,True
MLP (64-64),mlp,0.005,0.25,6,0.227,0.0,0.0,0.0,0.0279,0.0,0.0095,0.0304,0.2255,0.0,1.0,0.242,True
MLP (64-64),mlp,0.005,0.5,6,0.227,0.0,0.0,0.0,0.0279,0.0,0.007,0.0323,0.2255,0.0,1.0,0.396,True
MLP (64-64),mlp,0.005,0.75,6,0.227,0.0,0.0,0.0,0.0279,0.0,0.0003,0.0423,0.2255,0.0,1.0,0.709,True
MLP (64-64),mlp,0.005,1.0,6,0.773,0.0,0.0,0.0,0.1468,,0.0,0.0851,0.7745,0.0,0.0,1.808,True
MLP (64-64),mlp,0.05,0.0,6,0.7425,0.3347,0.0826,0.5601,0.104,0.6795,0.1798,0.0443,0.7338,0.0913,0.3197,0.587,True
MLP (64-64),mlp,0.05,0.005,6,0.7635,0.1109,0.0423,0.4097,0.1058,0.7215,0.0314,0.0451,0.7598,0.0338,0.2793,0.335,True
MLP (64-64),mlp,0.05,0.05,6,0.7617,0.055,0.001,0.5146,0.1058,0.7183,0.0088,0.0453,0.7613,0.0072,0.2798,0.627,True
MLP (64-64),mlp,0.05,0.25,6,0.7823,0.1167,0.0167,0.4494,0.1075,0.767,0.0187,0.0473,0.7785,0.0076,0.2337,0.364,True
