implementation,preprocessing,epsilon,error_mean,error_std,accuracy_mean,accuracy_std,hard_accuracy_mean,hard_accuracy_std,paper_dp_violation_mean,paper_dp_violation_std,fairlearn_dpd_mean,fairlearn_dpd_std,n_predictors_mean,n_predictors_std,n_oracle_calls_mean,n_oracle_calls_std
authors-code,complete_case,0.001,0.17176818004217403,0.0025527228419180946,0.828231819957826,0.0025527228419181557,0.8283566248009906,0.003377867277312827,0.00395548417020391,0.0030008072197509773,0.011525846727935139,0.009480351077191676,2.0,0.0,21.5,1.5811388300841898
authors-code,complete_case,0.0031622776601683,0.1711889468583976,0.0026322528341445515,0.8288110531416024,0.002632252834144553,0.8295772156377146,0.0034085054595006277,0.00466058795817961,0.0038358642202422143,0.01477394913421548,0.00784781802696022,2.0,0.0,21.5,1.5811388300841898
authors-code,complete_case,0.01,0.16942453230651666,0.0026896208480725733,0.8305754676934833,0.0026896208480725638,0.8311250663364586,0.002926403245761127,0.01080415494738305,0.004701317040754017,0.019468566684663142,0.011036930372265828,2.0,0.0,21.8,1.5491933384829668
authors-code,complete_case,0.0316227766016837,0.1647314984651089,0.002684514987143271,0.8352685015348911,0.002684514987143225,0.8347426145409518,0.004645811899762137,0.032448166633598244,0.0050844963727458194,0.043466732515814885,0.021951465500025514,2.0,0.0,24.7,1.70293863659264
authors-code,complete_case,0.1,0.1549770286033914,0.0030796502885271386,0.8450229713966084,0.003079650288527189,0.84479922165222,0.003518987777666064,0.09992642388739255,0.006263092676815846,0.14074101809183287,0.01690208057904431,2.0,0.0,30.4,2.065591117977289
authors-code,preserve_missing,0.001,0.16593683810737098,0.0019527196406752961,0.834063161892629,0.0019527196406753345,0.8355089673245434,0.0019124825787604602,0.00401477476035983,0.002611827294976171,0.010244302220808781,0.007799184832228866,2.0,0.0,22.1,1.4491376746189437
authors-code,preserve_missing,0.0031622776601683,0.1653069250586256,0.001907965447078906,0.8346930749413743,0.0019079654470789094,0.8355089673245434,0.0018834289312074613,0.004378123410532261,0.003511269956787583,0.01031936506920572,0.007983181051354546,2.0,0.0,21.8,1.5491933384829668
authors-code,preserve_missing,0.01,0.16342851994415572,0.0018766054063897083,0.8365714800558444,0.001876605406389702,0.836229629023012,0.0023500846203918188,0.00956626990079219,0.005136487181887115,0.014310826304269941,0.009246845649010495,2.0,0.0,22.1,1.4491376746189437
authors-code,preserve_missing,0.0316227766016837,0.1589105461796621,0.0021296031356322458,0.8410894538203377,0.002129603135632255,0.8407665219883711,0.0022418119192968134,0.030699673365884122,0.005166737616703069,0.04320401968387907,0.010529960069838612,2.0,0.0,23.3,0.9486832980505137
authors-code,preserve_missing,0.1,0.1489923099596437,0.002305927704608776,0.8510076900403563,0.0023059277046087487,0.8507493243796576,0.002587464920394808,0.0984116084515595,0.005132520852858984,0.1448188912766882,0.022341888833326516,2.0,0.0,30.8,1.9321835661585915
modern-fairlearn,complete_case,0.001,0.17188134276359052,0.0026087342653574328,0.8281186572364095,0.0026087342653574627,0.8290730585529807,0.0025878672462541896,0.00383178070454918,0.0031120120781838647,0.012776135374843078,0.00917355741862408,2.0,0.0,20.9,1.4491376746189437
modern-fairlearn,complete_case,0.0031622776601683,0.17121646302874968,0.0026324323554421792,0.8287835369712504,0.0026324323554421953,0.8299310100831416,0.003021037674416574,0.00463414481001588,0.003810129487587978,0.01525986877834105,0.0077423516511161,2.0,0.0,21.8,1.5491933384829668
modern-fairlearn,complete_case,0.01,0.16943109742876133,0.002663070792707174,0.8305689025712386,0.0026630707927072115,0.8309304793914736,0.0029963213656267673,0.010896360791261819,0.0046857650619993325,0.01838243647970442,0.010694544617599763,2.0,0.0,21.5,1.5811388300841898
modern-fairlearn,complete_case,0.0316227766016837,0.16458358358072397,0.0026868230102089982,0.835416416419276,0.002686823010209021,0.8351937024588715,0.004608211320679047,0.03250287927418875,0.005161612523296234,0.04592825851955531,0.02035235131684224,2.0,0.0,25.1,1.4491376746189437
modern-fairlearn,complete_case,0.1,0.15504296084828492,0.002961426090537206,0.844957039151715,0.002961426090537203,0.8448699805413055,0.003257143381180624,0.10002599268293857,0.006133797722826987,0.14446200321386554,0.01558333733923891,2.0,0.0,30.8,2.699794230842212
modern-fairlearn,preserve_missing,0.001,0.16589370643106519,0.0019187240767409718,0.8341062935689347,0.001918724076740974,0.8355253459995087,0.0018826374747152959,0.0040245761150452175,0.0027085743945413983,0.010221103598085101,0.007809985533056665,2.0,0.0,22.1,1.4491376746189437
modern-fairlearn,preserve_missing,0.0031622776601683,0.16530128265943062,0.0018810687309279218,0.8346987173405693,0.0018810687309279274,0.8354925886495783,0.0018808950981506975,0.00437542811972922,0.0035118885440437405,0.01029504931219563,0.007753927905172708,2.0,0.0,22.1,1.4491376746189437
modern-fairlearn,preserve_missing,0.01,0.16341604012469502,0.0018715364830634387,0.836583959875305,0.001871536483063426,0.8362541970354599,0.002339740838922823,0.009563119133879621,0.005115394298748287,0.014310695374185351,0.009285280819571197,2.0,0.0,22.1,1.4491376746189437
modern-fairlearn,preserve_missing,0.0316227766016837,0.15891168256269741,0.0022142353852009277,0.8410883174373026,0.0022142353852008987,0.8408238473507493,0.002238102634663054,0.03061324459230147,0.005176695776674237,0.043373211721699154,0.01074166620138581,2.0,0.0,23.3,0.9486832980505137
modern-fairlearn,preserve_missing,0.1,0.1490805528537155,0.002260826326642194,0.8509194471462844,0.0022608263266421973,0.8505609696175579,0.0025504962315999508,0.09845238515384981,0.005135363835224541,0.13807258687196583,0.017713592008545952,2.0,0.0,29.6,2.7968235951204043
